ADEP,ADES,cluster_kmeans,AC Type,n,delta_dist_nm_mean,delta_dist_nm_std,delta_dist_nm_p5,delta_dist_nm_p95,delta_duration_h_mean,delta_duration_h_std,delta_duration_h_p5,delta_duration_h_p95,delta_fuel_kg_mean,delta_fuel_kg_std,delta_fuel_kg_p5,delta_fuel_kg_p95
LFPG,LROP,0,B738,10,-44.4,14.3,-62.1,-24.68,-0.08,0.06,-0.17,-0.01,-200.0,143.85,-416.0,-34.0
LFPG,LROP,1,B737,3,-49.43,10.34,-55.64,-39.26,-0.12,0.14,-0.25,-0.03,-256.73,307.52,-559.86,-64.86
LFPG,LROP,1,B738,25,-47.73,15.1,-62.74,-23.62,-0.09,0.1,-0.28,0.03,-204.5,235.63,-660.8,67.2
LFPG,LROP,1,BCS3,3,-41.77,8.17,-47.91,-33.78,-0.07,0.12,-0.15,0.05,-126.67,221.69,-278.67,91.86
LFPG,LROP,2,A320,1,-37.1,,-37.1,-37.1,-0.13,,-0.13,-0.13,-333.4,,-333.4,-333.4
LFPG,LROP,2,B737,6,-32.9,8.19,-40.7,-22.42,-0.08,0.11,-0.19,0.07,-177.2,243.97,-427.78,158.93
LFPG,LROP,2,B738,5,-49.4,2.5,-51.74,-46.42,-0.13,0.07,-0.21,-0.04,-312.0,172.97,-496.0,-104.0
LFPG,LROP,2,BCS3,23,-33.52,10.1,-41.27,-13.06,-0.05,0.11,-0.18,0.14,-92.28,200.26,-342.9,271.5
LFPG,LROP,3,A320,1,-42.7,,-42.7,-42.7,-0.15,,-0.15,-0.15,-375.0,,-375.0,-375.0
LFPG,LROP,3,B737,4,-59.35,4.46,-62.84,-54.11,-0.11,0.04,-0.15,-0.06,-239.23,95.62,-320.8,-143.55
LFPG,LROP,3,B738,6,-39.0,9.34,-49.42,-26.58,-0.03,0.13,-0.12,0.16,-63.12,304.52,-284.02,380.0
LFPG,LROP,3,BCS3,20,-45.16,17.5,-63.15,-18.96,-0.05,0.09,-0.15,0.09,-99.76,162.92,-281.83,174.14
LFPG,LROP,4,A320,1,-61.7,,-61.7,-61.7,-0.08,,-0.08,-0.08,-208.4,,-208.4,-208.4
LFPG,LROP,4,A321,1,-19.3,,-19.3,-19.3,0.05,,0.05,0.05,140.0,,140.0,140.0
LFPG,LROP,4,B737,8,-32.05,27.04,-53.09,9.39,-0.02,0.07,-0.09,0.07,-43.06,163.83,-202.66,151.2
LFPG,LROP,4,B738,6,-31.53,16.4,-50.0,-14.0,-0.05,0.09,-0.12,0.07,-126.67,209.63,-290.0,160.0
LFPG,LROP,4,BCS3,14,-34.89,22.07,-60.92,-0.83,-0.08,0.1,-0.19,0.08,-144.77,183.05,-365.3,147.69
LFPG,LSGG,0,A319,6,-23.78,14.57,-33.78,-2.0,0.02,0.06,-0.03,0.1,35.4,129.62,-65.03,221.55
LFPG,LSGG,0,A320,10,-23.15,7.69,-31.49,-12.04,-0.02,0.02,-0.05,0.01,-53.39,60.04,-120.04,25.77
LFPG,LSGG,0,A321,3,-37.83,0.35,-38.16,-37.53,0.09,0.03,0.06,0.12,260.0,90.65,179.65,342.73
LFPG,LSGG,0,B738,1,-36.6,,-36.6,-36.6,0.02,,0.02,0.02,42.7,,42.7,42.7
LFPG,LSGG,0,BCS3,64,-30.13,8.67,-43.47,-16.78,0.12,0.05,0.05,0.21,233.34,94.13,92.11,397.92
LFPG,LSGG,1,A320,27,-22.38,10.22,-37.55,-6.84,-0.07,0.04,-0.13,-0.0,-168.01,110.51,-324.31,-11.48
LFPG,LSGG,1,B738,2,-34.4,20.51,-47.45,-21.35,-0.27,0.07,-0.32,-0.23,-654.35,158.89,-755.46,-553.24
LFPG,LSGG,2,A319,22,-20.15,12.44,-38.56,1.04,-0.08,0.08,-0.14,0.09,-170.22,169.95,-319.0,190.92
LFPG,LSGG,2,A321,1,-21.8,,-21.8,-21.8,-0.02,,-0.02,-0.02,-59.9,,-59.9,-59.9
LFPG,LSGG,2,B738,2,-30.0,5.66,-33.6,-26.4,-0.07,0.02,-0.08,-0.06,-176.7,36.77,-200.1,-153.3
LFPG,LSGG,2,BCS3,100,-23.4,11.49,-38.23,-2.57,0.01,0.08,-0.06,0.14,10.89,156.69,-111.56,272.02
LFPG,LSGG,2,E190,1,-24.9,,-24.9,-24.9,0.05,,0.05,0.05,121.0,,121.0,121.0
LFPG,LSZH,0,A20N,4,20.72,21.81,-4.46,40.21,0.01,0.06,-0.04,0.08,23.95,131.31,-93.19,174.62
LFPG,LSZH,0,A21N,1,-2.4,,-2.4,-2.4,0.04,,0.04,0.04,104.1,,104.1,104.1
LFPG,LSZH,0,A319,31,8.48,16.66,-10.95,31.55,0.05,0.07,-0.06,0.16,103.63,155.23,-134.6,341.15
LFPG,LSZH,0,A320,35,10.76,18.05,-10.22,40.52,0.08,0.08,-0.03,0.18,204.62,192.41,-78.59,451.78
LFPG,LSZH,0,A321,9,15.02,13.37,-2.16,33.42,0.01,0.05,-0.05,0.08,29.44,140.78,-149.78,236.9
LFPG,LSZH,0,BCS3,87,8.72,15.62,-9.24,37.2,0.1,0.07,0.03,0.21,185.74,136.82,51.18,408.62
LFPG,LSZH,0,E190,17,18.43,13.77,-2.9,37.74,0.16,0.07,0.1,0.23,354.49,147.4,227.66,498.26
LFPG,LSZH,0,E295,4,25.58,34.12,-8.93,58.01,0.05,0.11,-0.05,0.18,117.57,294.18,-140.37,459.69
LFPG,LTFJ,0,A20N,1,-13.3,,-13.3,-13.3,-0.07,,-0.07,-0.07,-153.3,,-153.3,-153.3
LFPG,LTFJ,0,A21N,82,-4.36,36.01,-44.44,53.92,0.07,0.17,-0.14,0.37,172.27,427.0,-361.8,925.74
LFPG,LTFJ,0,A321,17,-5.88,34.86,-38.48,65.32,0.03,0.15,-0.2,0.27,87.88,433.63,-569.84,746.16
LFPG,LTFJ,0,B38M,1,-8.1,,-8.1,-8.1,0.02,,0.02,0.02,35.0,,35.0,35.0
LFPG,LTFJ,0,B738,16,-11.53,31.16,-50.42,51.6,0.07,0.18,-0.12,0.34,166.71,441.49,-285.0,805.0
LFPG,LTFM,0,A21N,5,-33.04,92.15,-116.52,84.6,-0.07,0.19,-0.27,0.15,-180.52,477.04,-683.28,383.34
LFPG,LTFM,0,A320,2,-29.9,39.03,-54.74,-5.06,-0.06,0.14,-0.15,0.03,-145.8,353.55,-370.8,79.2
LFPG,LTFM,0,A321,5,-19.32,41.79,-66.28,25.44,0.02,0.24,-0.28,0.25,56.0,677.06,-783.98,700.0
LFPG,LTFM,0,A332,11,-44.26,42.53,-81.75,28.65,-0.15,0.08,-0.23,-0.02,-920.05,484.49,-1395.5,-95.5
LFPG,LTFM,0,A333,8,-14.31,39.41,-62.39,30.96,-0.06,0.2,-0.22,0.27,-361.7,1269.17,-1395.0,1699.79
LFPG,LTFM,0,B763,4,-23.52,3.1,-25.92,-19.83,0.02,0.07,-0.05,0.09,137.48,385.31,-297.96,508.75
LFPG,LTFM,0,B77L,1,-22.1,,-22.1,-22.1,0.0,,0.0,0.0,0.0,,0.0,0.0
LFPG,LTFM,1,A21N,10,-11.56,32.29,-37.5,46.4,0.01,0.16,-0.18,0.25,12.51,404.19,-454.2,633.33
LFPG,LTFM,1,A320,5,-8.1,36.15,-35.14,41.44,0.15,0.36,-0.11,0.64,365.02,895.22,-266.64,1598.34
LFPG,LTFM,1,A321,53,-24.3,29.01,-53.02,19.82,-0.02,0.15,-0.19,0.18,-50.45,413.27,-542.58,516.76
LFPG,LTFM,1,A332,5,-30.08,26.89,-60.68,-5.76,-0.09,0.09,-0.17,0.01,-560.0,567.45,-1020.0,60.0
LFPG,LTFM,1,A333,28,-31.03,13.82,-51.93,-12.0,-0.08,0.09,-0.27,0.04,-473.51,570.65,-1660.76,256.09
LFPG,LTFM,1,A359,1,-40.3,,-40.3,-40.3,-0.02,,-0.02,-0.02,-96.7,,-96.7,-96.7
LFPG,LTFM,1,B763,18,-38.96,10.19,-52.42,-18.61,-0.05,0.09,-0.19,0.08,-299.64,492.63,-1045.99,450.27
LFPG,LTFM,1,B77L,2,95.75,197.07,-29.66,221.16,0.28,0.48,-0.03,0.58,2145.0,3768.88,-253.5,4543.5
LFPG,LTFM,1,B77W,1,-42.1,,-42.1,-42.1,-0.08,,-0.08,-0.08,-650.0,,-650.0,-650.0
LFPG,LTFM,1,B789,1,-37.1,,-37.1,-37.1,-0.03,,-0.03,-0.03,-183.4,,-183.4,-183.4
LFPG,LTFM,2,A321,3,-37.53,15.11,-51.38,-24.2,-0.09,0.1,-0.19,-0.03,-264.4,273.43,-533.5,-71.53
LFPG,LTFM,2,A332,2,-37.4,5.66,-41.0,-33.8,-0.06,0.06,-0.1,-0.02,-350.0,353.55,-575.0,-125.0
LFPG,LTFM,2,A333,1,-17.7,,-17.7,-17.7,-0.08,,-0.08,-0.08,-516.7,,-516.7,-516.7
LFPG,LTFM,3,A21N,4,-14.6,8.89,-22.06,-4.98,-0.08,0.1,-0.17,0.02,-198.0,245.34,-435.5,39.5
LFPG,LTFM,3,A320,12,-28.96,18.06,-49.32,1.01,-0.07,0.11,-0.17,0.11,-177.03,263.71,-431.86,263.93
LFPG,LTFM,3,A321,25,-17.64,25.35,-46.26,29.68,-0.01,0.09,-0.15,0.11,-41.9,253.62,-408.74,309.88
LFPG,LTFM,3,A332,3,-30.8,15.01,-43.29,-16.56,-0.09,0.1,-0.14,0.01,-532.8,578.33,-866.7,34.83
LFPG,LTFM,3,A333,14,-24.69,16.46,-46.52,-0.04,-0.08,0.17,-0.23,0.2,-516.61,1047.69,-1424.5,1257.04
LFPG,LTFM,3,B77L,2,-31.9,29.27,-50.53,-13.27,-0.04,0.08,-0.09,0.01,-325.0,643.47,-734.5,84.5
LFPG,LTFM,3,B77W,3,-14.13,14.67,-27.05,-0.68,-0.07,0.11,-0.14,0.04,-519.97,865.58,-1070.3,333.7
LFPG,LTFM,3,B789,1,-10.2,,-10.2,-10.2,0.07,,0.07,0.07,366.7,,366.7,366.7
LFPG,LTFM,4,A21N,5,-5.46,25.35,-23.24,29.4,0.0,0.09,-0.1,0.09,8.34,213.3,-258.36,233.36
LFPG,LTFM,4,A321,4,-12.58,41.38,-45.0,36.41,0.15,0.23,-0.08,0.39,412.45,654.4,-226.3,1089.56
LFPG,LTFM,4,A332,2,-27.35,27.08,-44.58,-10.12,-0.14,0.01,-0.15,-0.13,-850.0,70.71,-895.0,-805.0
LFPG,LTFM,4,A333,12,-17.43,36.8,-46.32,35.91,-0.03,0.28,-0.16,0.37,-189.46,1724.51,-998.9,2302.6
LFPG,LTFM,4,A359,1,-8.6,,-8.6,-8.6,0.05,,0.05,0.05,290.0,,290.0,290.0
LFPG,LTFM,4,B789,3,-21.93,10.42,-29.64,-11.73,0.0,0.12,-0.11,0.08,0.03,641.67,-632.47,440.06
LFPG,LYBE,0,A319,32,-11.25,23.89,-35.42,24.92,0.02,0.07,-0.1,0.13,39.86,161.49,-217.54,295.88
LFPG,LYBE,0,A320,28,-7.72,23.43,-30.76,31.12,0.02,0.07,-0.08,0.14,52.28,177.93,-189.74,341.44
LFPG,MMMX,0,B77W,11,1.2,31.75,-36.7,48.1,0.05,0.25,-0.24,0.4,378.56,1925.75,-1862.35,3143.75
LFPG,MMMX,0,B789,21,-0.5,53.72,-57.0,98.3,0.07,0.26,-0.26,0.53,368.07,1451.97,-1447.4,2908.2
LFPG,MMMX,1,B77W,14,0.26,73.31,-86.4,129.71,0.05,0.17,-0.21,0.27,353.05,1288.11,-1660.68,2078.84
LFPG,MMMX,1,B789,26,-0.77,84.11,-103.3,169.3,0.05,0.24,-0.25,0.53,251.61,1335.02,-1362.45,2939.8
LFPG,MMMX,2,B77W,6,1.33,119.37,-87.6,159.12,0.05,0.16,-0.17,0.19,376.32,1237.69,-1366.05,1471.75
LFPG,MMMX,2,B789,11,-5.28,88.56,-102.1,143.45,0.04,0.17,-0.17,0.24,203.88,949.75,-942.9,1337.3
LFPG,OLBA,0,A21N,11,-4.79,17.3,-20.2,22.1,-0.05,0.09,-0.17,0.07,-115.31,227.28,-424.45,174.55
LFPG,OLBA,0,A320,1,-10.0,,-10.0,-10.0,0.05,,0.05,0.05,126.4,,126.4,126.4
LFPG,OLBA,0,A332,15,1.38,20.48,-25.1,19.45,0.01,0.07,-0.07,0.12,79.19,421.82,-413.51,719.62
LFPG,OLBA,0,A359,1,-9.1,,-9.1,-9.1,0.19,,0.19,0.19,1085.9,,1085.9,1085.9
LFPG,OLBA,1,A21N,17,-7.93,16.42,-27.58,18.98,-0.05,0.14,-0.22,0.13,-135.01,343.29,-547.98,321.46
LFPG,OLBA,1,A332,17,-6.15,20.18,-38.58,20.94,0.02,0.07,-0.04,0.15,94.97,428.34,-253.46,886.86
LFPG,OLBA,1,A359,5,0.06,22.3,-28.36,20.84,0.06,0.13,-0.05,0.23,335.42,725.88,-279.7,1314.64
LFPG,OLBA,1,B772,2,-8.15,4.31,-10.9,-5.4,0.03,0.06,-0.01,0.07,220.0,425.25,-50.63,490.63
LFPG,OLBA,1,B77W,2,-0.75,2.62,-2.42,0.91,0.16,0.07,0.12,0.21,1267.5,542.35,922.35,1612.65
LFPG,OLBA,1,B789,1,-6.1,,-6.1,-6.1,0.05,,0.05,0.05,275.0,,275.0,275.0
LFPG,OLBA,2,A21N,7,-1.71,26.82,-33.92,25.18,-0.01,0.1,-0.14,0.11,-32.31,240.84,-339.0,265.53
LFPG,OLBA,2,A332,11,1.05,23.58,-35.2,24.1,0.07,0.13,-0.09,0.27,400.77,785.78,-536.8,1600.7
LFPG,OLBA,2,A359,5,9.22,15.73,-7.84,25.44,0.11,0.05,0.05,0.16,614.16,283.74,264.84,919.64
LFPG,OLBA,2,B772,1,0.9,,0.9,0.9,0.05,,0.05,0.05,330.0,,330.0,330.0
LFPG,OLBA,2,B789,1,0.7,,0.7,0.7,0.13,,0.13,0.13,693.6,,693.6,693.6
LFPG,OMDB,0,B772,6,27.08,34.4,-5.48,76.0,0.19,0.13,0.04,0.36,1260.98,849.89,281.85,2380.98
LFPG,OMDB,0,B77L,4,37.83,14.35,23.32,53.55,0.36,0.13,0.22,0.49,2803.68,1024.73,1746.88,3840.76
LFPG,OMDB,0,B77W,17,42.74,35.46,9.94,82.38,0.26,0.09,0.14,0.4,2041.51,708.33,1057.76,3083.14
LFPG,OMDB,1,A388,42,17.9,25.58,-17.46,51.52,0.24,0.16,0.04,0.45,2835.55,1861.35,451.2,5426.23
LFPG,OMDB,2,A388,48,13.36,24.24,-26.81,42.72,0.21,0.12,0.03,0.4,2527.39,1393.52,340.7,4754.19
LFPG,OMDB,2,B772,1,-20.5,,-20.5,-20.5,0.22,,0.22,0.22,1470.3,,1470.3,1470.3
LFPG,OMDB,2,B77W,3,11.77,42.18,-14.35,53.33,0.22,0.13,0.14,0.34,1715.27,978.47,1067.95,2680.57
LFPG,OMDB,3,B772,1,-1.0,,-1.0,-1.0,0.3,,0.3,0.3,1959.8,,1959.8,1959.8
LFPG,OMDB,3,B77L,22,15.8,22.61,-24.36,45.96,0.29,0.13,0.07,0.49,2278.75,979.85,559.6,3826.9
LFPG,OMDB,3,B77W,2,24.35,32.31,3.78,44.92,0.3,0.04,0.28,0.33,2350.85,315.58,2150.02,2551.68
LFPG,OTHH,0,A359,1,15.2,,15.2,15.2,0.08,,0.08,0.08,475.2,,475.2,475.2
LFPG,OTHH,0,A35K,5,10.26,18.22,-9.34,32.86,0.07,0.12,-0.02,0.22,394.04,668.84,-112.52,1293.06
LFPG,OTHH,0,A388,4,42.6,23.35,17.96,67.32,0.26,0.08,0.17,0.32,3103.32,946.9,2030.31,3882.3
LFPG,OTHH,0,B77L,9,39.0,28.38,-0.14,72.26,0.19,0.12,0.06,0.37,1480.56,911.17,501.38,2853.5
LFPG,OTHH,0,B77W,11,44.03,32.52,11.4,96.55,0.19,0.11,0.05,0.34,1514.66,819.6,412.6,2663.8
LFPG,OTHH,1,A359,2,7.6,32.39,-13.01,28.21,0.02,0.08,-0.03,0.07,136.05,465.91,-160.46,432.55
LFPG,OTHH,1,A35K,1,17.8,,17.8,17.8,0.17,,0.17,0.17,990.8,,990.8,990.8
LFPG,OTHH,1,A388,1,32.3,,32.3,32.3,0.3,,0.3,0.3,3646.7,,3646.7,3646.7
LFPG,OTHH,1,B77L,4,54.47,70.98,-2.9,134.07,0.15,0.13,0.03,0.29,1132.62,992.67,223.93,2257.44
LFPG,OTHH,1,B77W,11,24.23,31.64,-7.8,78.65,0.16,0.14,0.01,0.37,1213.5,1103.74,37.7,2908.5
LFPG,OTHH,2,A359,1,15.6,,15.6,15.6,0.1,,0.1,0.1,597.8,,597.8,597.8
LFPG,OTHH,2,A35K,4,5.5,27.41,-17.46,36.65,0.13,0.06,0.07,0.19,724.58,328.5,418.9,1101.82
LFPG,OTHH,2,A388,1,23.8,,23.8,23.8,0.22,,0.22,0.22,2650.0,,2650.0,2650.0
LFPG,OTHH,2,B77L,5,52.68,49.64,2.5,115.7,0.15,0.08,0.05,0.22,1162.64,647.76,396.52,1738.08
LFPG,OTHH,2,B77W,6,48.72,22.75,28.15,81.18,0.21,0.12,0.03,0.3,1604.4,948.25,238.32,2338.38
LFPG,OTHH,3,A359,4,35.75,14.3,20.16,50.29,0.17,0.09,0.09,0.26,970.65,494.92,533.14,1523.17
LFPG,OTHH,3,A388,1,39.2,,39.2,39.2,0.19,,0.19,0.19,2266.7,,2266.7,2266.7
LFPG,OTHH,3,B77L,6,29.38,16.55,13.9,53.32,0.14,0.07,0.07,0.23,1057.02,575.34,538.48,1816.28
LFPG,OTHH,3,B77W,8,19.27,19.23,-2.91,44.68,0.12,0.13,0.0,0.33,943.25,1017.48,41.62,2590.39
LFPG,OTHH,4,A359,6,23.13,13.31,5.38,38.1,0.16,0.08,0.08,0.28,929.62,492.53,485.32,1611.9
LFPG,OTHH,4,A35K,8,8.45,21.51,-20.35,35.42,0.07,0.11,-0.07,0.22,425.88,648.38,-409.44,1272.29
LFPG,OTHH,4,A388,2,8.0,1.41,7.1,8.9,0.12,0.08,0.07,0.17,1401.7,912.17,821.2,1982.2
LFPG,OTHH,4,B77L,2,6.45,35.99,-16.45,29.35,0.03,0.0,0.03,0.03,229.65,30.62,210.16,249.14
LFPG,OTHH,4,B77W,9,23.69,27.08,-5.04,65.26,0.14,0.13,0.02,0.33,1112.67,994.39,176.5,2550.7
LFPG,RJTT,0,B77W,29,-26.87,37.29,-67.62,35.16,-0.14,0.2,-0.5,0.15,-1107.76,1532.72,-3908.24,1184.72
LFPG,RJTT,0,B789,4,-38.6,12.58,-52.98,-28.21,-0.14,0.1,-0.26,-0.07,-795.2,526.41,-1425.76,-387.02
LFPG,RJTT,1,B772,1,3.2,,3.2,3.2,0.08,,0.08,0.08,493.2,,493.2,493.2
LFPG,RJTT,1,B77W,47,3.6,49.43,-37.47,74.08,0.05,0.26,-0.25,0.32,378.93,2007.13,-1933.75,2465.43
LFPG,RJTT,1,B789,9,-49.27,19.88,-76.34,-29.22,-0.13,0.21,-0.42,0.14,-688.9,1155.47,-2314.42,790.64
LFPG,RKSI,0,A359,11,-1.42,21.97,-24.3,34.15,0.1,0.24,-0.23,0.4,577.65,1367.41,-1354.05,2324.1
LFPG,RKSI,0,B77L,3,-32.77,1.03,-33.76,-31.96,-0.12,0.28,-0.36,0.14,-915.77,2175.91,-2790.64,1111.31
LFPG,RKSI,0,B77W,3,-12.93,15.44,-27.94,-1.03,0.01,0.21,-0.2,0.18,35.37,1667.62,-1566.56,1379.95
LFPG,RKSI,1,B77L,6,-9.67,14.81,-24.08,5.58,-0.07,0.13,-0.24,0.09,-508.8,1030.98,-1840.58,705.22
LFPG,RKSI,1,B77W,1,-5.6,,-5.6,-5.6,0.06,,0.06,0.06,457.2,,457.2,457.2
LFPG,RKSI,2,A359,15,-0.62,29.94,-33.97,36.56,0.09,0.19,-0.18,0.35,535.31,1123.27,-1053.21,2048.65
LFPG,RKSI,3,B772,16,-10.45,32.58,-46.25,43.0,-0.0,0.2,-0.26,0.32,-33.81,1322.8,-1714.18,2097.3
LFPG,RKSI,3,B77W,14,-7.74,36.88,-61.64,53.72,0.05,0.15,-0.16,0.24,350.86,1183.03,-1251.82,1895.79
LFPG,SBGR,0,A359,8,-8.69,28.91,-50.68,27.16,0.03,0.2,-0.24,0.29,156.06,1165.76,-1377.6,1711.72
LFPG,SBGR,0,B77W,6,-6.1,56.73,-58.12,75.22,0.03,0.16,-0.1,0.26,211.93,1257.57,-773.53,2060.98
LFPG,SBGR,0,B788,7,-5.94,22.16,-33.13,22.22,0.04,0.3,-0.38,0.39,230.66,1583.03,-1972.95,2041.92
LFPG,SBGR,0,B789,7,-0.16,19.5,-27.16,20.69,0.03,0.11,-0.13,0.14,152.37,597.16,-705.36,792.92
LFPG,SBGR,1,A359,14,-2.49,24.83,-29.68,37.62,0.03,0.2,-0.24,0.37,190.64,1165.82,-1401.6,2152.28
LFPG,SBGR,1,B77W,16,-4.0,44.27,-44.72,82.05,0.02,0.19,-0.24,0.27,147.14,1446.32,-1877.5,2125.45
LFPG,SBGR,1,B788,8,5.57,33.16,-34.25,54.91,0.09,0.27,-0.19,0.48,484.11,1408.72,-986.34,2481.61
LFPG,SBGR,1,B789,4,-8.75,5.08,-13.68,-3.47,-0.03,0.22,-0.21,0.23,-193.25,1212.85,-1141.46,1263.99
LFPG,SBGR,2,A359,8,-4.21,40.71,-50.53,56.28,0.03,0.12,-0.12,0.19,148.46,691.23,-705.5,1091.66
LFPG,SBGR,2,B77W,8,-3.79,45.97,-53.74,65.58,0.02,0.13,-0.13,0.19,154.41,1004.9,-1044.1,1510.07
LFPG,SBGR,2,B788,1,-5.6,,-5.6,-5.6,0.09,,0.09,0.09,472.4,,472.4,472.4
LFPG,SBGR,2,B789,2,-7.85,9.4,-13.84,-1.87,0.06,0.33,-0.15,0.27,330.0,1806.23,-819.48,1479.48
LFPG,VHHH,0,B77L,6,-6.63,18.39,-28.88,12.18,-0.03,0.19,-0.22,0.24,-195.73,1492.71,-1693.8,1846.0
LFPG,VHHH,0,B77W,13,-9.37,23.92,-35.0,27.28,-0.01,0.25,-0.32,0.33,-78.68,1927.04,-2463.02,2603.52
LFPG,VHHH,0,B789,3,-11.03,16.59,-22.5,5.31,0.02,0.1,-0.05,0.12,89.13,569.65,-267.82,650.72
LFPG,VHHH,1,B77L,2,-17.1,0.71,-17.55,-16.65,-0.07,0.09,-0.13,-0.01,-565.5,704.7,-1013.97,-117.03
LFPG,VHHH,1,B789,24,-4.46,46.61,-29.38,8.78,0.04,0.25,-0.3,0.42,231.35,1378.27,-1625.99,2337.16
LFPG,VHHH,2,B77W,16,2.51,24.21,-34.98,34.45,0.04,0.3,-0.35,0.42,279.34,2318.94,-2735.98,3284.65
LFPG,VHHH,3,B77L,12,2.3,18.74,-15.86,30.46,-0.01,0.32,-0.47,0.47,-103.05,2500.07,-3672.27,3635.39
LFPG,VHHH,3,B789,3,-27.93,18.44,-39.63,-9.75,0.0,0.05,-0.03,0.05,4.07,260.97,-166.06,261.53
LFPG,VIDP,0,B788,20,-4.86,17.34,-27.55,21.56,-0.03,0.1,-0.17,0.13,-135.71,517.03,-874.01,659.24
LFPG,VIDP,1,A332,11,-3.58,27.1,-35.8,31.7,0.04,0.09,-0.07,0.18,239.41,542.45,-395.15,1054.0
LFPG,VIDP,1,B788,7,-2.49,23.53,-26.48,32.45,-0.04,0.09,-0.15,0.08,-221.24,488.14,-754.27,436.11
LFPG,VIDP,2,A332,1,-2.9,,-2.9,-2.9,0.02,,0.02,0.02,133.3,,133.3,133.3
LFPG,VIDP,2,B788,3,0.77,31.55,-26.86,29.84,-0.01,0.07,-0.08,0.05,-59.67,358.41,-401.09,235.93
LFPG,VIDP,2,B789,22,-8.72,13.65,-24.7,11.96,0.02,0.1,-0.13,0.19,104.01,526.87,-729.02,1068.42
LFPG,VIDP,3,B77L,22,-7.55,16.7,-34.0,19.11,0.05,0.14,-0.17,0.29,370.84,1113.18,-1346.69,2271.42
LFPG,VIDP,4,A332,18,1.08,32.64,-44.72,47.72,0.03,0.17,-0.15,0.31,176.61,1003.27,-882.75,1886.5
LFPG,WSSS,0,A359,23,-2.39,13.3,-16.5,15.34,0.12,0.09,-0.0,0.21,697.93,511.69,-0.07,1244.55
LFPG,WSSS,0,B77W,9,-3.92,16.95,-29.54,14.56,0.04,0.12,-0.12,0.17,318.06,923.22,-951.98,1358.98
LFPG,WSSS,1,A359,11,-8.15,70.03,-64.4,120.35,0.15,0.3,-0.08,0.71,867.65,1722.66,-450.1,4110.15
LFPG,WSSS,1,B77L,5,6.76,70.06,-29.04,101.62,0.15,0.15,-0.03,0.33,1157.02,1192.29,-200.6,2543.7
LFPG,WSSS,1,B77W,28,-4.51,53.44,-68.88,105.19,0.08,0.18,-0.21,0.41,599.29,1431.98,-1638.92,3223.27
LFPG,WSSS,2,A359,9,-25.8,10.92,-34.54,-8.24,0.11,0.1,-0.04,0.24,643.2,592.14,-248.1,1374.62
LFPG,WSSS,2,B77W,23,-13.71,25.69,-39.16,37.56,0.12,0.07,0.01,0.22,901.23,580.01,112.98,1692.48
LFPG,ZBAA,0,B789,30,0.27,21.08,-26.19,40.46,0.07,0.23,-0.27,0.45,383.47,1252.63,-1477.24,2486.2
LFPG,ZBAA,1,B77W,30,-13.03,18.18,-33.54,24.51,0.04,0.22,-0.31,0.32,325.22,1737.96,-2423.21,2480.94
LFPG,ZSPD,0,B772,19,-9.19,15.49,-34.41,9.01,0.05,0.23,-0.26,0.39,337.74,1537.4,-1716.69,2555.9
LFPG,ZSPD,0,B77L,16,-1.41,20.59,-30.38,27.1,0.0,0.2,-0.26,0.26,12.81,1594.68,-2056.75,2070.22
LFPG,ZSPD,0,B77W,11,-3.66,10.31,-14.2,13.4,0.03,0.19,-0.28,0.27,242.1,1519.37,-2168.7,2116.95
LFPG,ZSPD,1,B77W,30,0.6,480.42,-471.36,539.37,0.04,1.04,-1.11,1.48,333.71,8142.39,-8643.05,11525.53
LFPO,DAAG,0,A319,22,2.34,9.09,-8.58,21.02,0.02,0.1,-0.16,0.11,44.09,217.18,-362.66,245.82
LFPO,DAAG,0,A320,19,0.91,17.79,-14.31,42.88,0.02,0.06,-0.06,0.11,38.33,151.37,-160.63,263.97
LFPO,DAAG,0,A332,43,-0.05,7.19,-8.76,11.92,0.02,0.08,-0.1,0.11,119.36,455.91,-609.73,648.44
LFPO,DAAG,0,B738,142,1.2,11.44,-10.99,20.84,0.05,0.11,-0.13,0.21,127.32,255.72,-303.1,496.5
LFPO,DAOO,0,B738,58,-4.16,23.37,-21.78,15.09,0.03,0.14,-0.18,0.22,73.15,328.54,-426.0,525.8
LFPO,DTMB,0,B738,35,-6.45,18.87,-28.63,30.13,0.02,0.09,-0.13,0.12,55.22,217.08,-312.81,295.11
LFPO,DTMB,1,A319,1,-1.9,,-1.9,-1.9,0.05,,0.05,0.05,119.2,,119.2,119.2
LFPO,DTMB,1,A320,2,16.5,2.83,14.7,18.3,0.06,0.08,0.01,0.11,159.05,200.32,31.56,286.53
LFPO,DTMB,1,B738,15,-4.44,10.87,-23.47,7.47,0.04,0.05,-0.03,0.11,92.99,122.36,-71.59,270.81
LFPO,DTMB,2,A320,5,0.04,35.96,-30.38,48.0,0.01,0.14,-0.15,0.18,25.96,358.14,-382.36,451.78
LFPO,DTMB,2,B738,10,-11.12,22.0,-38.09,21.08,0.01,0.15,-0.23,0.19,22.07,370.58,-551.7,464.48
LFPO,DTTA,0,A20N,30,3.96,18.89,-14.64,41.06,0.04,0.09,-0.1,0.17,99.86,197.22,-236.44,393.93
LFPO,DTTA,0,A319,25,7.92,16.66,-15.92,26.24,0.03,0.09,-0.14,0.17,66.16,196.81,-297.52,364.08
