ADEP,ADES,cluster_kmeans,AC Type,n,delta_dist_nm_mean,delta_dist_nm_std,delta_dist_nm_p5,delta_dist_nm_p95,delta_duration_h_mean,delta_duration_h_std,delta_duration_h_p5,delta_duration_h_p95,delta_fuel_kg_mean,delta_fuel_kg_std,delta_fuel_kg_p5,delta_fuel_kg_p95
CYUL,LFPG,2,A21N,4,8.85,13.1,-5.82,21.69,0.12,0.21,-0.08,0.35,310.25,512.72,-195.76,872.89
CYUL,LFPG,2,A332,15,9.97,19.96,-14.95,42.61,0.05,0.27,-0.23,0.51,288.18,1631.88,-1367.4,3068.62
CYUL,LFPG,2,A333,6,3.58,24.2,-24.3,35.4,0.06,0.06,-0.02,0.11,355.02,366.09,-123.18,682.8
CYUL,LFPG,2,B772,2,5.95,40.09,-19.56,31.46,0.08,0.02,0.07,0.09,518.8,124.45,439.6,598.0
CYUL,LFPG,2,B77W,20,5.69,16.11,-16.62,30.44,0.09,0.18,-0.16,0.34,723.56,1429.12,-1211.3,2616.65
CYUL,LFPG,2,B788,1,-37.3,,-37.3,-37.3,0.06,,0.06,0.06,310.6,,310.6,310.6
CYUL,LFPG,3,A21N,1,23.4,,23.4,23.4,0.18,,0.18,0.18,453.5,,453.5,453.5
CYUL,LFPG,3,A332,6,6.5,13.09,-11.02,18.25,0.05,0.17,-0.14,0.27,300.82,1048.0,-866.25,1593.3
CYUL,LFPG,3,A333,1,-16.4,,-16.4,-16.4,0.1,,0.1,0.1,618.3,,618.3,618.3
CYUL,LFPG,3,B772,8,2.37,13.4,-14.36,18.4,0.09,0.17,-0.13,0.32,623.1,1139.52,-852.51,2146.91
CYUL,LFPG,3,B77W,46,7.2,15.28,-15.25,29.8,0.13,0.21,-0.21,0.51,1005.98,1627.46,-1654.55,3989.1
CYUL,LFPG,3,B788,1,11.9,,11.9,11.9,0.17,,0.17,0.17,907.1,,907.1,907.1
CYUL,LFPG,3,B789,2,12.0,12.73,3.9,20.1,0.19,0.02,0.18,0.2,1049.6,110.17,979.49,1119.71
CYUL,LFPG,4,B77W,3,22.2,31.24,-4.89,51.18,0.15,0.02,0.13,0.16,1171.5,157.64,1016.45,1283.57
CYUL,LFPG,4,B788,1,11.8,,11.8,11.8,0.03,,0.03,0.03,157.4,,157.4,157.4
CYUL,LFPG,4,B789,2,9.6,35.21,-12.81,32.01,0.11,0.12,0.03,0.18,591.25,652.45,176.04,1006.46
CYUL,LFPG,5,A21N,1,-47.7,,-47.7,-47.7,-0.04,,-0.04,-0.04,-100.0,,-100.0,-100.0
CYUL,LFPG,5,A332,5,-9.54,57.91,-75.1,53.9,0.01,0.15,-0.14,0.2,42.68,926.23,-866.3,1226.64
CYUL,LFPG,5,A333,1,4.5,,4.5,4.5,0.11,,0.11,0.11,671.6,,671.6,671.6
CYUL,LFPG,5,B772,1,-5.3,,-5.3,-5.3,0.09,,0.09,0.09,606.8,,606.8,606.8
CYUL,LFPG,5,B77W,10,-2.48,149.28,-97.05,277.31,0.1,0.21,-0.21,0.33,797.77,1637.69,-1650.66,2544.33
CYUL,LFPG,5,B789,1,-45.3,,-45.3,-45.3,-0.11,,-0.11,-0.11,-588.2,,-588.2,-588.2
CYUL,LIRF,0,A332,14,-36.18,40.76,-92.21,27.87,-0.08,0.28,-0.37,0.38,-453.57,1663.57,-2225.0,2275.0
