ADEP,ADES,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
EHAM,LIML,208,34.36,15.25,12.74,48.96,0.07,0.07,-0.03,0.17,160.94,172.42,-70.74,388.76
EHAM,LIPE,93,0.98,11.78,-15.48,16.98,-0.0,0.08,-0.16,0.11,-8.59,189.36,-336.64,258.02
EHAM,LIPZ,129,-29.33,15.72,-50.56,1.22,-0.16,0.05,-0.23,-0.07,-368.41,112.64,-520.0,-160.0
EHAM,LIRF,193,-28.79,19.62,-51.56,4.66,-0.11,0.08,-0.2,0.0,-253.63,187.71,-483.24,0.0
EHAM,LIRN,75,-20.86,23.21,-46.05,16.86,-0.05,0.1,-0.14,0.12,-114.73,228.82,-339.53,276.07
EHAM,LIRP,50,8.68,21.75,-31.06,32.76,0.03,0.05,-0.06,0.12,59.03,124.63,-136.14,290.27
EHAM,LIRQ,149,12.25,16.76,-12.22,35.46,0.01,0.08,-0.1,0.13,10.9,201.4,-260.0,284.56
EHAM,LKPR,187,-15.37,13.43,-31.54,0.87,-0.05,0.07,-0.13,0.05,-115.41,149.51,-320.0,85.5
EHAM,LLBG,124,4.29,12.1,-10.61,26.15,0.01,0.07,-0.1,0.12,48.32,260.73,-250.2,455.55
EHAM,LOWW,254,9.36,17.8,-14.87,45.54,0.04,0.07,-0.05,0.15,95.02,158.73,-115.0,377.94
EHAM,LPFR,76,-1.42,11.13,-16.08,14.85,-0.01,0.06,-0.1,0.08,-32.38,147.4,-250.0,193.77
EHAM,LPPR,118,-2.67,12.14,-23.54,19.33,0.02,0.07,-0.08,0.12,41.04,153.38,-200.0,260.19
EHAM,LPPT,324,-6.26,17.18,-34.68,21.52,0.03,0.09,-0.1,0.18,75.66,206.4,-220.0,473.94
EHAM,LROP,99,-39.3,11.83,-52.01,-11.33,-0.07,0.05,-0.13,0.0,-155.6,114.29,-320.0,4.0
EHAM,LSGG,232,-28.05,18.24,-54.72,-3.81,-0.06,0.09,-0.2,0.1,-141.48,221.26,-495.62,222.24
EHAM,LSZH,221,-3.96,18.98,-29.0,28.4,0.02,0.1,-0.14,0.18,45.87,234.44,-290.0,435.5
EHAM,LTFJ,155,-9.21,26.58,-35.95,31.88,0.03,0.14,-0.14,0.25,80.68,362.9,-378.24,658.0
EHAM,LTFM,164,-22.09,18.86,-42.11,9.75,-0.05,0.1,-0.15,0.08,-277.72,570.37,-901.44,405.39
EHAM,LYBE,101,-5.07,15.33,-24.6,17.1,0.01,0.07,-0.1,0.12,22.67,154.41,-238.9,253.6
EHAM,MMMX,59,-8.07,9.32,-25.61,3.91,-0.0,0.05,-0.09,0.09,-20.71,294.44,-481.89,468.07
EHAM,OMAA,52,11.77,14.66,-4.9,40.79,0.06,0.08,-0.05,0.16,375.48,503.72,-265.68,1095.0
EHAM,OMDB,116,28.3,21.04,-3.7,66.2,0.23,0.1,0.07,0.4,2000.27,986.9,580.55,3748.35
EHAM,OTHH,82,36.53,34.4,0.1,92.44,0.16,0.11,-0.0,0.33,1220.0,844.28,-13.08,2543.64
EHAM,RKSI,56,-2.81,12.22,-17.78,25.55,-0.0,0.05,-0.08,0.08,9.24,361.18,-508.08,562.28
EHAM,TNCC,74,-1.4,6.39,-12.07,9.01,-0.0,0.05,-0.09,0.07,24.6,338.43,-545.02,579.92
EHAM,VHHH,42,-4.91,16.75,-22.88,4.94,-0.0,0.05,-0.06,0.09,-21.34,302.94,-379.98,507.4
EHAM,WSSS,59,-9.96,13.32,-24.04,2.51,0.07,0.05,-0.01,0.15,474.81,341.75,-91.4,934.34
EHAM,ZSPD,107,-8.35,15.08,-29.26,4.73,0.0,0.05,-0.06,0.08,34.98,355.64,-471.5,587.35
EHEH,EGSS,90,5.8,9.64,-3.0,25.2,0.07,0.05,-0.0,0.15,168.11,126.06,-8.48,379.38
EHEH,LBSF,50,-58.57,17.4,-77.47,-26.41,-0.11,0.06,-0.18,-0.02,-256.53,147.92,-423.2,-46.39
EHEH,LEAL,83,-9.29,13.0,-24.03,4.32,0.04,0.08,-0.06,0.14,94.45,185.37,-142.6,338.8
EHEH,LEBL,54,-13.03,12.56,-27.99,2.15,-0.05,0.07,-0.15,0.07,-111.3,172.16,-349.76,172.34
EHEH,LEIB,83,-24.48,21.4,-59.48,13.29,-0.08,0.07,-0.18,0.03,-197.72,171.49,-440.3,83.83
EHEH,LEMG,95,-5.38,21.62,-27.26,27.87,0.06,0.08,-0.06,0.2,138.59,200.77,-148.01,476.19
EHEH,LEPA,61,-14.2,23.96,-35.5,9.4,-0.0,0.1,-0.11,0.13,-9.03,244.0,-266.7,334.0
EHEH,LEVC,71,-14.69,11.51,-28.8,6.2,-0.02,0.05,-0.11,0.04,-56.59,116.87,-269.65,106.3
EHEH,LIRF,59,-44.55,22.1,-77.39,0.2,-0.13,0.07,-0.25,-0.02,-327.89,170.57,-602.5,-40.64
EHEH,LPFR,73,-8.67,14.29,-25.42,14.02,-0.01,0.06,-0.1,0.11,-15.42,152.35,-240.0,256.0
EHRD,EGLC,100,4.04,6.91,-2.4,15.43,0.07,0.13,-0.02,0.15,143.26,282.03,-36.6,330.73
EHRD,LEAL,51,-5.05,9.6,-17.95,12.5,0.03,0.06,-0.07,0.13,66.15,134.46,-178.65,302.0
EHRD,LEIB,56,-35.54,19.63,-61.22,-2.4,-0.12,0.07,-0.22,-0.01,-291.44,152.0,-524.2,-33.3
EHRD,LEMG,59,2.62,19.0,-11.53,36.69,0.07,0.08,-0.05,0.22,172.27,186.07,-114.64,531.97
EICK,EGCC,60,17.93,9.09,-1.86,30.46,0.07,0.06,-0.02,0.16,152.86,130.95,-48.22,380.36
EICK,EGLL,113,19.31,11.38,-0.88,37.74,0.09,0.09,-0.04,0.28,216.58,234.7,-92.78,687.92
EICK,EGSS,85,2.03,11.17,-17.28,19.78,0.06,0.06,-0.03,0.16,148.39,139.58,-75.82,381.3
EICK,EHAM,94,12.23,5.83,2.92,22.74,0.07,0.07,-0.04,0.18,163.01,150.99,-63.35,356.3
EICK,LEMG,51,-10.58,17.65,-36.2,25.55,0.04,0.09,-0.07,0.23,87.41,212.2,-168.4,551.0
EICK,LPFR,50,-1.35,6.83,-12.14,8.91,0.03,0.06,-0.07,0.09,69.85,138.78,-166.6,225.78
EIDL,EIDW,58,-28.68,19.17,-52.5,3.16,-0.05,0.09,-0.15,0.1,-44.42,80.8,-136.46,92.74
EIDW,BIKF,48,0.32,11.35,-12.33,20.65,0.03,0.06,-0.05,0.11,118.8,200.92,-123.74,451.98
EIDW,CYYZ,103,-3.61,19.78,-24.92,10.1,0.03,0.06,-0.08,0.11,175.84,313.72,-253.92,631.12
EIDW,EBBR,140,15.48,12.19,-5.77,34.61,0.07,0.06,-0.02,0.17,182.2,148.34,-49.1,435.88
EIDW,EDDB,112,11.87,13.01,-6.99,27.45,0.07,0.06,-0.03,0.18,177.52,165.44,-77.98,442.68
EIDW,EDDF,180,-40.49,13.75,-60.72,-19.1,-0.14,0.07,-0.23,-0.03,-350.91,190.41,-580.24,-64.98
EIDW,EDDH,59,-38.89,26.96,-64.83,-6.68,-0.12,0.08,-0.23,-0.03,-288.06,199.96,-574.76,-63.21
EIDW,EDDL,75,-14.6,7.11,-25.67,-2.53,0.01,0.05,-0.08,0.08,13.72,124.94,-202.63,185.09
EIDW,EDDM,106,4.03,13.13,-11.9,27.65,-0.06,0.09,-0.23,0.07,-138.46,212.61,-527.12,168.02
EIDW,EGBB,270,10.22,11.09,-2.9,32.35,0.08,0.07,-0.01,0.18,124.06,104.62,-29.38,296.9
EIDW,EGCC,340,18.75,10.14,-2.4,35.21,0.09,0.07,-0.0,0.2,144.21,93.05,-4.04,289.32
EIDW,EGGD,175,6.56,11.56,-11.46,25.21,0.05,0.08,-0.07,0.15,79.57,145.33,-95.19,288.61
EIDW,EGGP,203,10.26,8.57,0.7,24.99,0.05,0.05,-0.02,0.13,83.35,86.4,-59.24,211.3
EIDW,EGGW,106,-29.33,12.49,-45.98,-6.88,-0.06,0.08,-0.15,0.08,-150.87,197.18,-358.0,177.6
EIDW,EGHI,56,-0.86,12.53,-15.35,23.55,0.01,0.1,-0.15,0.13,7.74,89.52,-133.2,123.85
EIDW,EGKK,326,9.83,12.87,-19.0,27.42,0.15,0.14,-0.03,0.39,349.51,338.94,-59.8,950.98
EIDW,EGLC,129,-23.01,23.58,-61.14,-1.94,-0.01,0.1,-0.14,0.15,-27.61,229.44,-318.48,327.3
EIDW,EGLL,500,17.52,14.8,2.4,40.5,0.11,0.12,-0.04,0.3,270.89,277.56,-103.72,741.9
EIDW,EGNM,144,17.56,10.4,3.93,36.95,0.07,0.09,-0.03,0.15,88.17,120.18,-63.16,239.7
EIDW,EGNT,95,1.04,16.37,-25.39,16.56,0.0,0.1,-0.09,0.08,3.82,123.8,-160.0,158.0
EIDW,EGNX,92,-1.09,9.96,-16.4,10.86,0.04,0.05,-0.04,0.11,143.36,202.63,-111.98,559.77
EIDW,EGPD,60,7.12,5.61,-3.2,17.81,0.02,0.05,-0.06,0.1,14.31,47.74,-65.25,89.32
EIDW,EGPF,217,-4.33,11.18,-20.0,10.8,-0.09,0.07,-0.18,0.01,-130.39,111.89,-336.72,7.64
EIDW,EGPH,295,4.77,11.83,-15.46,16.08,0.02,0.07,-0.08,0.13,30.53,110.89,-135.48,198.31
EIDW,EGSS,262,-6.85,10.58,-22.8,13.19,0.01,0.07,-0.07,0.12,43.78,169.46,-176.61,350.0
EIDW,EHAM,397,8.43,6.08,3.58,19.06,0.08,0.06,-0.01,0.16,183.39,139.47,-16.1,383.3
EIDW,EIDL,58,9.88,4.84,3.51,19.08,0.09,0.08,0.06,0.12,84.78,70.98,51.18,108.77
EIDW,EIKY,59,-2.62,14.77,-29.1,21.93,0.02,0.07,-0.1,0.13,42.85,167.72,-245.03,283.65
EIDW,EKCH,91,-14.24,10.89,-30.9,-0.05,-0.08,0.05,-0.16,0.01,-163.77,112.12,-338.25,20.5
EIDW,ESSA,60,-0.19,13.9,-17.51,27.22,0.01,0.07,-0.07,0.11,29.59,158.96,-151.16,262.84
EIDW,GCRR,110,-20.3,11.51,-40.37,-1.21,-0.04,0.08,-0.14,0.09,-163.51,319.34,-755.17,181.7
EIDW,GCTS,65,-24.41,12.12,-37.96,-5.08,-0.06,0.08,-0.19,0.1,-161.76,205.71,-475.94,243.12
EIDW,KBOS,89,-6.16,12.17,-30.1,8.86,0.02,0.06,-0.09,0.12,142.97,376.66,-513.6,713.68
EIDW,KEWR,88,-6.29,12.16,-28.49,5.08,0.1,0.11,-0.09,0.28,404.87,482.3,-396.3,1186.32
EIDW,KIAD,118,-7.49,14.01,-32.96,6.16,0.01,0.09,-0.11,0.17,79.45,511.35,-668.26,1014.24
EIDW,KJFK,90,-7.52,15.36,-30.2,1.83,0.07,0.08,-0.05,0.18,404.92,452.52,-252.46,1061.95
EIDW,KORD,141,-3.29,15.92,-23.2,14.9,0.0,0.07,-0.11,0.09,19.0,379.69,-553.3,513.4
EIDW,KPHL,58,-3.13,17.48,-29.66,16.16,0.01,0.17,-0.13,0.13,-14.37,491.06,-481.19,693.12
EIDW,LEAL,97,-7.62,19.16,-42.0,21.38,0.04,0.08,-0.06,0.13,91.44,181.32,-155.74,308.4
EIDW,LEBL,148,-12.51,12.6,-33.4,8.79,-0.07,0.1,-0.19,0.06,-262.86,367.08,-1031.99,132.65
EIDW,LEMD,130,-10.8,19.86,-43.52,13.37,0.03,0.08,-0.08,0.16,64.97,197.05,-208.36,363.11
EIDW,LEMG,224,-3.86,17.29,-17.94,32.07,0.06,0.07,-0.06,0.19,187.41,270.83,-173.8,646.4
EIDW,LEPA,91,-9.74,11.53,-25.0,9.9,-0.01,0.08,-0.12,0.12,-8.9,224.64,-301.45,295.3
EIDW,LERS,66,-4.67,16.67,-19.73,17.05,-0.01,0.07,-0.11,0.13,-15.79,158.17,-236.73,289.32
EIDW,LFBD,55,-8.64,10.46,-18.65,5.54,-0.03,0.06,-0.12,0.06,-80.62,142.57,-297.41,153.3
EIDW,LFMN,66,6.33,24.06,-15.72,28.8,0.06,0.17,-0.09,0.2,136.55,410.96,-234.35,496.67
EIDW,LFOB,80,-8.0,14.26,-28.1,16.03,-0.01,0.11,-0.1,0.09,-17.37,265.19,-224.06,181.41
EIDW,LFPG,235,-6.51,19.51,-35.38,25.02,-0.01,0.09,-0.13,0.16,-17.63,225.82,-316.38,393.4
EIDW,LFPO,52,-39.11,20.16,-70.28,-6.04,-0.08,0.11,-0.22,0.1,-223.28,335.84,-586.28,251.67
EIDW,LFRS,63,10.91,8.35,-2.95,24.27,0.04,0.06,-0.06,0.13,91.9,142.93,-137.73,290.31
EIDW,LIME,64,-46.43,17.32,-71.4,-20.08,-0.1,0.08,-0.2,0.04,-223.2,180.41,-484.0,92.69
EIDW,LIPZ,65,-38.12,19.52,-68.2,-5.02,-0.17,0.08,-0.3,-0.06,-428.98,213.26,-790.0,-141.64
EIDW,LIRF,113,-50.44,18.29,-78.06,-15.7,-0.14,0.08,-0.27,-0.02,-348.08,191.68,-672.02,-47.86
EIDW,LIRN,60,-22.56,51.32,-61.14,-0.29,-0.05,0.29,-0.23,0.11,-124.74,717.48,-583.3,269.83
EIDW,LOWW,51,9.67,15.07,-11.0,33.75,0.06,0.06,-0.03,0.18,146.62,159.23,-83.3,437.55
EIDW,LPFR,222,-7.6,30.0,-18.88,8.19,0.0,0.09,-0.1,0.1,-5.41,224.27,-303.86,245.0
EIDW,LPPT,172,-9.74,20.32,-38.47,18.22,0.09,0.11,-0.06,0.28,205.79,241.06,-151.23,618.0
EIDW,LSZH,79,-4.36,19.05,-37.03,25.89,-0.01,0.12,-0.17,0.2,-8.8,265.57,-327.95,477.85
EIDW,LTFM,77,-19.98,16.83,-40.02,4.46,-0.03,0.08,-0.13,0.11,-90.17,337.18,-636.0,373.72
EIDW,OMDB,60,15.59,20.18,-5.48,49.83,0.17,0.16,-0.09,0.42,1360.81,1246.6,-708.04,3266.76
EIDW,OTHH,60,39.63,20.09,13.31,75.2,0.16,0.1,0.0,0.34,824.59,498.99,11.49,1782.41
EIKY,EIDW,59,-17.71,13.69,-38.64,6.03,-0.14,0.09,-0.22,0.03,-340.12,209.27,-537.7,75.43
EINN,EGLL,84,17.39,12.68,-7.14,42.18,0.09,0.12,-0.06,0.28,224.38,289.02,-160.2,702.79
EINN,EGSS,73,-0.82,14.25,-30.86,22.38,0.07,0.06,-0.02,0.2,167.39,146.42,-36.52,459.2
EKAH,EKCH,130,-14.86,9.8,-25.91,5.11,-0.08,0.05,-0.15,-0.01,-107.65,71.75,-204.06,-5.47
EKBI,EDDF,98,-44.24,22.2,-70.01,-17.93,-0.17,0.08,-0.28,-0.05,-386.55,184.78,-632.39,-125.02
EKBI,EDDM,60,-18.77,9.81,-31.81,0.11,-0.07,0.06,-0.15,0.04,-104.2,84.28,-211.96,61.06
EKBI,EGSS,85,7.79,9.78,-4.08,24.84,0.12,0.06,0.05,0.2,278.01,129.12,110.84,470.0
EKBI,EHAM,140,5.46,7.1,-4.6,20.2,0.06,0.07,-0.03,0.15,137.55,166.1,-53.92,406.74
EKBI,ENGM,104,-23.15,12.63,-40.94,-5.71,-0.04,0.06,-0.14,0.04,-76.87,110.05,-283.53,57.03
EKBI,ESSA,56,4.13,16.0,-18.4,33.65,0.09,0.09,-0.0,0.21,123.83,131.69,-2.55,293.9
EKBI,LFPG,92,-5.5,13.32,-17.73,21.4,0.08,0.09,-0.11,0.2,170.42,212.08,-257.79,434.7
EKCH,BIKF,139,1.87,9.48,-12.17,18.04,0.06,0.06,-0.03,0.15,154.68,176.73,-57.69,507.01
EKCH,EBBR,187,-0.64,12.88,-23.32,22.28,-0.01,0.08,-0.11,0.12,-12.58,175.9,-269.56,273.61
EKCH,EDDB,182,1.53,17.81,-26.68,22.67,0.02,0.08,-0.1,0.14,51.49,190.11,-245.38,326.54
EKCH,EDDF,189,-35.71,25.06,-67.56,-4.38,-0.15,0.09,-0.28,-0.01,-364.01,213.79,-678.5,-23.14
EKCH,EDDH,134,-52.94,16.57,-65.94,-12.74,-0.19,0.07,-0.27,-0.07,-181.7,62.12,-261.36,-86.35
EKCH,EDDL,147,1.14,9.7,-12.58,20.67,0.06,0.06,-0.03,0.16,94.7,104.83,-61.51,270.17
EKCH,EDDM,207,-17.99,15.91,-38.38,10.16,-0.06,0.07,-0.16,0.04,-140.7,154.38,-392.28,65.65
EKCH,EDDP,31,-75.66,25.4,-112.3,-36.3,-0.2,0.1,-0.36,-0.04,-769.27,422.5,-1456.65,-102.1
EKCH,EFHK,248,-18.51,13.83,-40.63,2.78,-0.0,0.06,-0.09,0.1,-2.84,148.59,-218.14,228.17
EKCH,EGCC,144,-20.39,16.25,-43.08,8.59,-0.0,0.08,-0.14,0.12,-10.66,181.37,-323.86,278.11
EKCH,EGKK,190,7.36,12.73,-15.76,25.92,0.19,0.13,-0.01,0.41,414.43,287.41,-16.87,889.79
EKCH,EGLL,273,6.67,11.7,-13.12,26.84,0.19,0.11,0.05,0.4,457.41,264.03,114.6,986.2
EKCH,EGPH,71,6.26,16.69,-26.95,24.9,0.08,0.07,0.0,0.2,181.63,168.46,0.9,425.55
EKCH,EGSS,90,3.3,14.2,-9.86,20.78,0.11,0.08,0.02,0.21,256.75,200.09,41.22,482.9
EKCH,EHAM,420,7.94,7.42,-4.71,21.73,0.08,0.06,-0.01,0.18,180.25,132.04,-29.62,391.0
EKCH,EIDW,89,-15.11,17.23,-41.66,12.1,-0.02,0.09,-0.14,0.12,-38.49,196.87,-306.62,238.14
EKCH,EKAH,127,-9.96,6.07,-15.6,3.57,-0.01,0.03,-0.05,0.05,-21.09,44.78,-70.63,50.02
EKCH,EKRN,182,-10.22,9.45,-26.6,10.19,0.0,0.06,-0.07,0.08,1.95,41.66,-50.68,70.93
EKCH,EKSB,108,-9.21,6.56,-25.36,-2.7,-0.04,0.03,-0.09,0.01,-36.35,29.26,-79.3,10.38
EKCH,EKVG,95,1.65,12.03,-5.7,10.66,0.06,0.11,-0.04,0.12,138.9,276.9,-87.68,293.98
EKCH,EKYT,439,1.55,8.49,-5.41,13.12,-0.0,0.06,-0.06,0.07,-8.9,100.34,-144.03,123.37
EKCH,ENBR,171,-19.6,29.13,-39.5,-4.35,-0.02,0.16,-0.11,0.08,-26.93,389.31,-241.55,173.0
EKCH,ENGM,540,-15.79,17.43,-34.85,6.12,-0.02,0.09,-0.12,0.1,-49.02,161.8,-280.1,219.84
EKCH,ENVA,69,-1.54,6.06,-9.72,5.46,0.0,0.03,-0.05,0.06,6.26,56.57,-76.04,108.6
EKCH,ENZV,168,-4.65,6.41,-19.08,2.88,-0.0,0.04,-0.09,0.06,2.02,74.9,-128.4,109.38
EKCH,EPGD,102,-32.33,17.75,-57.49,-5.63,-0.09,0.05,-0.17,0.0,-197.31,126.94,-399.71,0.0
EKCH,EPWA,155,-39.7,24.13,-79.58,-7.91,-0.06,0.07,-0.18,0.07,-106.55,128.62,-300.0,107.72
EKCH,ESGG,87,-11.23,10.11,-35.6,-0.83,-0.03,0.05,-0.12,0.02,-63.49,95.82,-220.71,34.01
EKCH,ESSA,497,-11.54,16.3,-42.5,11.08,-0.01,0.08,-0.13,0.09,-35.04,189.03,-296.98,215.44
EKCH,EVRA,118,-11.42,13.1,-32.33,5.71,-0.01,0.07,-0.1,0.11,-28.32,166.23,-283.6,208.08
EKCH,EYPA,54,-27.03,13.66,-51.32,-7.71,-0.03,0.05,-0.12,0.03,-41.64,66.44,-171.52,46.7
EKCH,EYVI,61,-20.81,10.12,-33.5,-4.7,-0.02,0.05,-0.1,0.07,-22.57,66.68,-140.0,93.3
EKCH,KJFK,60,-9.12,14.87,-38.84,1.07,-0.07,0.12,-0.28,0.09,-421.55,692.61,-1544.7,567.86
EKCH,LEAL,84,-3.64,12.77,-26.01,14.11,0.05,0.07,-0.05,0.15,125.05,162.92,-116.14,371.26
EKCH,LEBL,145,-6.08,18.81,-41.08,25.8,-0.04,0.08,-0.15,0.07,-96.66,189.23,-354.3,181.1
EKCH,LEMD,66,-0.15,19.55,-22.4,24.28,0.03,0.1,-0.12,0.22,87.97,266.15,-320.55,558.38
EKCH,LEMG,151,-4.06,15.24,-27.25,17.7,0.05,0.08,-0.09,0.2,103.99,183.3,-200.3,451.75
EKCH,LEPA,120,-13.84,18.66,-44.02,10.14,-0.02,0.08,-0.13,0.11,-37.21,179.07,-314.84,260.52
EKCH,LFMN,105,-46.38,20.1,-78.7,-17.52,-0.16,0.07,-0.27,-0.05,-366.95,168.14,-630.82,-128.96
EKCH,LFPG,301,-5.53,14.22,-29.4,22.2,0.02,0.07,-0.09,0.13,40.07,162.58,-178.5,315.3
EKCH,LGAV,85,-10.72,16.01,-35.48,11.92,0.02,0.08,-0.11,0.14,41.44,180.33,-253.04,369.82
EKCH,LHBP,51,-24.28,14.84,-44.35,-3.0,-0.0,0.05,-0.08,0.08,-7.43,123.35,-182.25,185.65
EKCH,LIMC,140,-39.49,24.1,-72.87,5.34,-0.17,0.09,-0.28,-0.02,-403.67,235.86,-766.98,-37.89
EKCH,LIME,53,-55.22,19.41,-86.64,-25.08,-0.13,0.06,-0.2,-0.03,-296.15,130.77,-481.32,-78.8
EKCH,LIPE,73,-13.59,15.14,-37.9,12.28,-0.03,0.07,-0.14,0.08,-53.65,141.66,-294.0,157.88
EKCH,LIRF,109,-35.58,20.3,-63.42,-2.58,-0.13,0.08,-0.29,-0.01,-304.31,188.49,-681.98,-30.68
EKCH,LKPR,114,-13.33,14.92,-33.64,12.21,-0.05,0.08,-0.2,0.09,-124.36,181.23,-446.4,163.3
EKCH,LOWW,168,-8.64,16.88,-31.15,24.6,0.03,0.07,-0.07,0.17,111.19,273.19,-166.6,550.0
EKCH,LPPT,64,-4.28,19.41,-25.88,36.01,0.08,0.1,-0.03,0.26,193.44,227.96,-83.38,631.01
EKCH,LSGG,86,-6.11,16.48,-47.68,7.75,0.04,0.07,-0.1,0.15,85.77,159.09,-158.32,368.38
EKCH,LSZH,157,-15.24,13.06,-37.24,8.28,-0.04,0.09,-0.16,0.11,-99.53,178.63,-396.92,207.64
EKCH,LTAI,55,-6.48,17.4,-31.22,16.78,0.09,0.1,-0.03,0.22,207.33,215.83,-83.3,465.5
EKCH,LTFJ,65,-16.41,27.91,-43.2,27.86,-0.0,0.16,-0.15,0.29,-11.22,407.01,-375.0,664.0
EKCH,LTFM,105,-16.84,25.72,-40.54,33.16,0.02,0.11,-0.1,0.16,48.32,292.13,-240.0,457.36
EKRN,EKCH,183,-13.69,6.54,-22.47,0.9,-0.11,0.06,-0.19,-0.02,-83.88,51.38,-154.77,-12.09
EKSB,EKCH,108,-18.17,8.15,-29.5,-7.58,-0.15,0.05,-0.2,-0.09,-127.94,44.17,-166.98,-80.04
EKVG,EKCH,94,-18.64,11.42,-35.25,4.9,-0.11,0.06,-0.19,0.0,-267.33,147.73,-453.74,9.41
EKYT,EHAM,118,3.09,7.79,-7.9,16.45,0.11,0.07,0.02,0.19,241.47,150.61,40.25,426.49
EKYT,EKCH,437,-12.32,11.68,-29.7,3.36,-0.1,0.06,-0.2,0.01,-176.74,125.35,-355.08,9.1
ELLX,EDDB,63,-21.63,23.1,-54.57,16.18,-0.1,0.12,-0.28,0.06,-102.7,159.77,-321.68,147.53
ELLX,EDDF,130,-82.17,22.35,-109.16,-43.93,-0.3,0.08,-0.4,-0.19,-551.98,158.97,-803.93,-326.71
ELLX,EDDM,119,-31.98,22.87,-58.71,9.75,-0.2,0.1,-0.31,-0.05,-262.28,129.9,-430.31,-59.22
ELLX,EGLC,141,-15.2,7.74,-24.9,-1.3,-0.16,0.08,-0.23,-0.07,-178.92,86.48,-268.4,-76.6
ELLX,EHAM,109,2.93,12.5,-20.48,20.24,0.03,0.06,-0.1,0.12,56.64,134.99,-215.46,259.3
ELLX,LEPA,81,-1.38,13.56,-17.4,25.0,-0.01,0.08,-0.1,0.13,-15.82,175.45,-219.4,292.1
ELLX,LFMN,63,-36.93,18.3,-63.7,-5.72,-0.16,0.09,-0.28,0.0,-314.0,178.01,-579.27,0.56
ELLX,LFPG,86,11.15,16.06,-0.15,44.22,0.04,0.09,-0.06,0.18,47.42,98.78,-63.45,209.98
ELLX,LIMC,79,-44.31,23.77,-86.52,0.25,-0.25,0.1,-0.42,-0.1,-383.38,163.65,-672.17,-147.92
ELLX,LOWW,65,-18.83,18.91,-45.7,11.44,-0.09,0.08,-0.21,0.05,-107.3,99.81,-268.38,57.5
ELLX,LPPR,134,-1.43,19.53,-28.1,28.3,0.05,0.09,-0.07,0.22,109.65,213.01,-169.54,534.0
ELLX,LPPT,78,-6.62,18.26,-32.43,17.87,0.06,0.09,-0.07,0.2,141.71,211.85,-169.2,455.24
ELLX,LSZH,43,2.0,20.08,-29.47,33.81,0.06,0.13,-0.11,0.3,123.25,288.66,-261.52,669.47
ENAL,EHAM,59,-18.03,14.18,-41.44,0.57,-0.0,0.09,-0.14,0.16,2.92,167.28,-251.25,279.45
ENAL,ENBR,171,-19.43,9.33,-27.85,0.1,-0.07,0.09,-0.18,0.09,-81.27,118.27,-208.3,150.25
ENAL,ENGM,207,-0.63,12.47,-26.62,14.79,-0.02,0.07,-0.14,0.09,-48.92,173.59,-312.7,210.58
ENAN,ENTC,1,10.1,,10.1,10.1,0.01,,0.01,0.01,4.7,,4.7,4.7
ENAT,ENGM,54,-2.92,13.94,-23.65,9.5,0.03,0.08,-0.1,0.18,83.32,177.39,-224.15,421.72
ENAT,ENTC,126,-15.18,12.08,-22.65,0.3,-0.12,0.11,-0.24,0.02,-89.98,71.5,-177.48,40.0
ENBL,ENGM,116,-17.46,10.07,-36.1,-5.08,-0.15,0.06,-0.27,-0.06,-88.72,38.37,-160.57,-38.08
ENBN,ENBO,55,1.28,10.19,-14.08,18.51,-0.15,0.06,-0.23,-0.03,-87.25,38.0,-138.65,-13.38
ENBN,ENVA,97,-12.66,5.55,-18.46,-0.96,-0.27,0.07,-0.36,-0.14,-158.35,42.11,-218.04,-86.2
ENBO,ENBN,53,-14.58,9.23,-32.16,-1.94,-0.15,0.06,-0.22,-0.07,-88.87,35.31,-128.72,-43.56
ENBO,ENEV,4,10.15,26.13,-16.76,34.67,-0.0,0.1,-0.09,0.1,-27.35,100.0,-139.99,63.1
ENBO,ENGM,286,-6.43,12.97,-27.67,13.6,0.04,0.1,-0.12,0.18,96.21,231.55,-286.92,420.8
ENBO,ENLK,178,-10.14,5.63,-13.3,0.02,-0.1,0.07,-0.15,-0.03,-61.43,39.1,-92.53,-18.38
ENBO,ENRA,75,-15.33,11.0,-36.3,0.0,-0.11,0.06,-0.22,-0.02,-65.55,38.4,-134.39,-14.21
ENBO,ENSH,130,-4.37,7.6,-7.88,-0.9,-0.07,0.05,-0.11,-0.04,-42.79,31.88,-65.28,-20.7
ENBO,ENSK,129,-1.21,8.85,-7.2,10.8,-0.08,0.09,-0.13,0.01,-45.17,52.21,-80.6,4.76
ENBO,ENTC,54,15.02,15.29,-2.9,33.47,0.0,0.08,-0.1,0.15,4.63,157.08,-188.42,310.93
ENBO,ENVA,113,-10.14,17.03,-20.78,-3.12,-0.04,0.12,-0.2,0.1,-66.23,165.91,-344.22,162.58
ENBR,EDDF,54,-39.99,24.89,-76.54,-2.63,-0.15,0.09,-0.28,-0.03,-340.81,201.55,-620.78,-62.55
ENBR,EGKK,54,8.53,13.34,-16.22,27.09,0.16,0.13,0.01,0.4,376.48,306.58,17.69,966.74
