ADEP,ADES,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
LTFM,EYVI,61,1.44,13.53,-17.8,23.6,0.06,0.07,0.0,0.13,155.42,151.38,0.0,300.0
LTFM,GMMN,65,-1.34,20.46,-28.54,28.58,0.07,0.1,-0.06,0.26,415.62,562.07,-389.24,1582.0
LTFM,HAAB,68,-15.21,12.87,-32.6,5.83,-0.06,0.07,-0.17,0.04,-266.78,377.59,-902.29,207.71
LTFM,HECA,202,19.52,13.61,1.2,42.25,0.1,0.08,0.0,0.24,288.29,246.21,2.66,782.5
LTFM,HLLM,161,-5.71,21.66,-27.1,19.5,0.04,0.09,-0.07,0.18,111.49,418.27,-230.7,471.6
LTFM,KIAD,60,5.6,26.0,-19.58,40.6,0.05,0.13,-0.07,0.31,296.75,765.68,-378.3,1714.7
LTFM,KJFK,117,2.95,22.87,-18.9,25.4,0.08,0.13,-0.08,0.37,574.06,949.7,-507.7,2367.68
LTFM,KLAX,60,-2.02,8.81,-15.74,7.58,0.01,0.06,-0.06,0.08,61.12,415.51,-407.55,530.15
LTFM,KMIA,53,2.8,13.47,-13.44,27.52,0.02,0.09,-0.09,0.18,180.43,593.6,-524.92,987.52
LTFM,KORD,75,0.1,11.95,-17.65,15.42,0.07,0.11,-0.04,0.33,499.41,800.47,-276.67,2336.75
LTFM,KSFO,60,-1.92,11.47,-20.97,10.86,0.01,0.06,-0.05,0.1,97.99,427.38,-397.69,642.31
LTFM,LATI,66,-4.62,11.74,-22.92,13.32,0.05,0.05,-0.03,0.13,116.15,126.56,-71.22,297.42
LTFM,LBSF,90,-33.42,27.78,-66.66,8.61,-0.01,0.08,-0.11,0.1,-30.87,196.93,-274.72,264.61
LTFM,LDZA,60,-0.7,16.31,-23.0,29.24,0.04,0.06,-0.03,0.13,121.38,158.26,-74.93,378.54
LTFM,LEBL,115,2.24,21.0,-26.39,31.32,-0.02,0.09,-0.14,0.13,-186.02,422.54,-873.0,430.36
LTFM,LEMD,112,10.87,23.93,-19.73,53.07,0.05,0.09,-0.06,0.22,198.47,362.75,-310.0,800.0
LTFM,LEMG,60,-7.05,23.47,-54.92,25.11,0.06,0.09,-0.07,0.21,164.58,230.33,-197.36,543.07
LTFM,LEVC,58,22.72,21.82,-3.54,45.01,0.13,0.07,0.03,0.24,270.93,152.52,67.5,499.48
LTFM,LFLL,64,22.51,21.26,-6.1,53.12,0.11,0.07,0.02,0.24,302.34,200.95,60.92,662.58
LTFM,LFML,59,24.34,25.43,-2.0,66.59,0.19,0.16,0.02,0.51,485.65,429.9,47.2,1155.85
LTFM,LFMN,60,16.81,15.37,-2.45,37.86,0.11,0.08,0.01,0.26,273.21,219.21,23.43,675.13
LTFM,LFPG,262,7.88,16.93,-12.76,41.47,0.09,0.13,-0.02,0.2,374.35,707.34,-105.33,996.3
LTFM,LFSB,60,-6.3,18.33,-29.76,10.27,0.09,0.07,0.01,0.17,218.13,176.42,34.18,415.77
LTFM,LGAV,201,8.05,17.23,-16.9,36.0,0.09,0.07,-0.01,0.21,321.86,350.52,-22.3,868.8
LTFM,LGTS,60,-5.88,16.95,-26.66,16.44,-0.02,0.06,-0.1,0.08,-47.14,139.34,-248.01,181.9
LTFM,LHBP,132,-7.84,28.67,-35.44,9.12,0.05,0.13,-0.06,0.13,175.22,564.27,-157.6,597.58
LTFM,LIMC,130,-34.34,20.37,-59.57,6.68,-0.12,0.1,-0.27,0.07,-523.42,589.11,-1678.98,209.3
LTFM,LIPE,77,-5.03,17.89,-40.0,16.26,0.02,0.08,-0.09,0.12,61.44,197.8,-242.64,333.28
LTFM,LIPZ,90,-33.17,12.38,-48.0,-6.87,-0.18,0.1,-0.34,-0.02,-481.66,268.13,-933.3,-63.56
LTFM,LIRF,120,-45.37,15.05,-61.72,-12.78,-0.13,0.07,-0.25,0.02,-528.43,465.99,-1550.0,48.93
LTFM,LIRN,52,-24.01,26.65,-53.72,18.56,0.0,0.1,-0.13,0.19,2.01,251.98,-315.98,462.68
LTFM,LJLJ,53,5.43,7.78,-2.32,16.98,0.06,0.03,0.02,0.12,173.49,83.09,48.04,315.18
LTFM,LKPR,91,-11.93,20.56,-23.6,4.85,-0.0,0.06,-0.08,0.06,-24.2,213.2,-305.0,176.65
LTFM,LLBG,310,9.82,13.0,-6.26,32.66,0.03,0.07,-0.06,0.15,139.66,306.72,-166.7,780.0
LTFM,LMML,61,-30.81,241.52,-33.8,29.3,-0.02,0.49,-0.1,0.21,-31.17,1039.37,-249.9,512.8
LTFM,LOWW,120,21.43,17.83,-1.03,55.16,0.11,0.06,0.03,0.2,445.85,321.47,89.86,1171.08
LTFM,LPPT,60,9.99,31.54,-29.32,79.59,0.05,0.11,-0.1,0.25,127.26,278.87,-250.0,627.08
LTFM,LQSA,86,32.45,15.47,18.35,53.35,0.17,0.08,0.09,0.28,443.0,225.88,216.68,793.92
LTFM,LROP,155,-16.87,21.33,-30.38,3.86,-0.0,0.15,-0.18,0.12,82.22,378.34,-326.98,580.0
LTFM,LSGG,104,3.91,21.41,-22.36,39.1,0.09,0.08,-0.02,0.21,242.19,200.29,-41.34,592.97
LTFM,LSZH,122,21.65,11.65,0.15,43.9,0.1,0.08,0.0,0.25,337.89,303.92,3.33,961.61
LTFM,LTAC,419,0.3,16.62,-17.72,27.15,0.05,0.08,-0.02,0.17,141.8,215.14,-41.7,440.0
LTFM,LTAF,342,0.3,13.53,-20.78,19.28,0.05,0.08,-0.02,0.17,115.78,198.07,-49.55,399.5
LTFM,LTAI,476,0.14,18.44,-26.52,34.3,0.11,0.08,0.02,0.27,342.24,349.68,41.28,942.5
LTFM,LTAJ,268,-2.16,11.44,-18.36,12.12,0.1,0.1,0.0,0.19,230.08,226.39,1.3,457.1
LTFM,LTAN,119,13.8,13.38,-5.93,30.45,0.2,0.08,0.08,0.32,505.81,204.65,180.97,840.0
LTFM,LTAR,73,-0.94,8.54,-12.74,11.72,0.09,0.05,0.05,0.15,230.33,115.07,116.44,377.84
LTFM,LTAT,79,20.8,11.28,7.6,35.52,0.16,0.06,0.09,0.32,384.57,164.95,209.0,674.5
LTFM,LTAU,264,21.49,15.45,2.74,34.3,0.08,0.07,0.02,0.19,209.59,189.7,59.21,424.81
LTFM,LTAY,78,5.15,22.08,-12.2,52.73,0.15,0.11,0.05,0.36,376.97,271.43,137.75,792.75
LTFM,LTAZ,126,-6.0,11.54,-26.1,12.02,0.07,0.08,0.02,0.17,202.6,208.45,46.7,419.68
LTFM,LTBJ,498,19.26,13.19,-0.04,37.84,0.07,0.06,-0.02,0.17,222.22,201.69,-40.0,547.9
