ADEP,ADES,cluster_kmeans,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
LEMG,ENGM,0,32,-33.86,16.91,-57.71,-2.42,-0.11,0.08,-0.24,-0.01,-262.03,174.09,-552.52,-25.2
LEMG,ENGM,1,15,-20.6,25.69,-54.2,15.14,-0.06,0.08,-0.17,0.06,-149.93,192.52,-410.7,145.92
LEMG,ENGM,2,17,-21.02,22.1,-55.0,10.76,-0.08,0.07,-0.17,0.01,-196.72,158.18,-404.4,16.78
LEMG,ENGM,3,30,-28.55,20.79,-52.98,15.03,-0.1,0.1,-0.23,0.09,-248.72,231.21,-540.36,218.4
LEMG,ESGG,0,56,-14.31,17.32,-49.58,7.88,-0.04,0.07,-0.18,0.05,-91.4,159.54,-412.8,111.98
LEMG,ESSA,0,147,-11.86,15.2,-36.5,17.6,0.01,0.08,-0.11,0.13,12.32,178.07,-269.85,265.3
LEMG,GCLP,0,69,1.36,18.55,-22.08,17.24,0.06,0.06,-0.04,0.14,148.98,154.96,-93.66,339.74
LEMG,GCXO,0,15,-20.61,22.48,-54.23,2.93,-0.03,0.04,-0.09,0.02,-84.44,100.74,-221.16,42.09
LEMG,GCXO,1,45,-7.59,10.31,-25.7,6.04,-0.04,0.05,-0.11,0.03,-87.4,109.9,-271.08,85.5
LEMG,GEML,0,212,4.17,5.88,-2.13,14.54,0.03,0.03,-0.0,0.1,30.85,29.8,-4.22,88.37
LEMG,GMMN,0,26,2.92,16.0,-13.3,39.88,0.09,0.08,0.01,0.24,81.97,73.93,6.55,215.05
LEMG,GMMN,1,36,-2.52,10.88,-14.6,17.68,0.07,0.06,-0.01,0.17,256.02,261.79,-24.58,743.65
LEMG,LEBB,0,65,-10.7,20.14,-33.84,23.88,-0.02,0.06,-0.08,0.08,-36.95,146.28,-204.82,202.46
LEMG,LEBB,1,26,-47.29,163.5,-34.07,0.0,-0.1,0.33,-0.13,0.03,-239.4,825.76,-287.7,63.55
LEMG,LEBL,0,51,-3.41,19.84,-29.2,37.3,-0.01,0.08,-0.11,0.11,-36.38,195.52,-297.95,273.3
LEMG,LEBL,1,168,-4.26,13.46,-28.13,22.38,-0.0,0.06,-0.1,0.1,-6.23,147.91,-234.46,223.29
LEMG,LEIB,0,42,-23.91,17.98,-57.6,-0.67,-0.05,0.06,-0.13,0.08,-124.97,140.02,-319.86,175.99
LEMG,LEIB,1,14,-29.04,22.17,-56.08,0.63,-0.05,0.07,-0.16,0.03,-123.19,147.74,-365.92,70.26
LEMG,LEMD,0,196,-16.27,17.38,-33.15,1.1,0.02,0.09,-0.07,0.15,52.48,217.58,-176.8,374.18
