ADEP,ADES,cluster_kmeans,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
EDDM,EDDH,2,31,-38.36,12.59,-54.55,-15.45,-0.2,0.07,-0.31,-0.07,-486.54,171.19,-713.65,-155.75
EDDM,EDDH,3,16,-44.87,13.87,-63.92,-33.52,-0.17,0.06,-0.25,-0.08,-426.96,165.7,-686.8,-181.5
EDDM,EDDK,0,261,10.0,12.7,-7.7,25.3,0.03,0.08,-0.08,0.18,99.43,295.28,-155.6,692.1
EDDM,EDDL,0,44,-3.93,11.26,-15.1,21.43,0.02,0.08,-0.07,0.17,39.12,195.45,-169.32,425.51
EDDM,EDDL,1,197,-5.14,14.23,-15.5,11.02,-0.06,0.08,-0.15,0.05,-128.98,181.81,-345.44,105.52
EDDM,EDDL,2,115,-5.05,15.33,-17.01,10.9,-0.02,0.08,-0.11,0.1,-36.96,167.64,-272.97,217.15
EDDM,EDDL,3,31,-12.23,9.04,-21.2,-0.35,-0.08,0.08,-0.2,0.06,-173.45,180.97,-461.7,135.75
EDDM,EDDP,0,25,-30.54,9.68,-40.86,-17.06,-0.12,0.05,-0.16,-0.04,-187.12,97.01,-234.6,-57.98
EDDM,EDDP,1,20,-28.82,7.79,-40.34,-18.37,-0.12,0.05,-0.16,-0.04,-160.74,95.88,-224.42,-51.5
EDDM,EDDS,0,126,7.37,12.4,-6.4,22.48,0.06,0.06,-0.02,0.16,101.65,107.04,-21.5,321.02
EDDM,EDDV,0,76,-2.01,10.32,-9.8,7.62,-0.08,0.06,-0.18,0.01,-193.74,136.25,-408.25,23.3
EDDM,EDDV,1,75,-2.02,21.04,-24.63,25.8,-0.06,0.11,-0.16,0.06,-134.48,275.78,-374.59,112.59
EDDM,EDDV,2,15,6.32,6.68,0.49,18.71,-0.04,0.03,-0.09,0.01,-101.69,81.75,-221.61,13.69
EDDM,EDDW,0,137,-0.11,7.32,-9.34,7.82,-0.0,0.04,-0.06,0.06,-7.02,83.84,-136.86,129.18
EDDM,EDLP,0,58,-5.39,4.68,-11.43,2.86,-0.03,0.02,-0.07,0.01,-37.72,33.97,-93.08,17.62
EDDM,EFHK,0,21,-7.85,12.98,-22.7,14.1,0.02,0.08,-0.07,0.15,61.61,199.85,-151.4,357.0
EDDM,EFHK,1,21,-6.55,14.36,-20.8,17.5,0.02,0.06,-0.06,0.12,45.72,150.56,-139.6,256.1
EDDM,EFHK,2,108,-2.23,10.2,-18.16,10.47,-0.0,0.08,-0.11,0.13,-5.85,194.61,-295.31,312.87
EDDM,EGBB,0,77,-8.36,15.23,-30.0,14.96,-0.0,0.07,-0.1,0.11,-5.49,151.36,-220.2,238.0
EDDM,EGCC,0,57,14.86,8.72,0.96,29.44,0.05,0.09,-0.05,0.18,123.22,219.08,-122.74,457.22
EDDM,EGCC,1,44,10.92,18.68,-34.46,36.24,0.02,0.09,-0.1,0.21,61.59,243.01,-245.67,570.61
EDDM,EGLL,0,99,10.25,12.35,-4.17,35.21,0.22,0.13,0.07,0.44,517.04,298.13,174.51,1097.07
EDDM,EGLL,1,267,10.2,11.99,-2.41,34.67,0.15,0.12,-0.01,0.37,351.54,279.85,-29.34,862.99
EDDM,EGLL,2,30,-1.55,14.5,-22.89,19.42,0.11,0.12,-0.03,0.29,266.79,277.95,-79.48,677.63
EDDM,EHAM,0,321,10.98,7.03,-0.6,25.1,0.06,0.06,-0.03,0.15,116.84,128.66,-73.7,327.3
EDDM,EIDW,0,31,0.17,10.45,-14.8,15.5,-0.02,0.09,-0.16,0.11,-53.59,227.9,-365.8,273.95
EDDM,EIDW,1,74,0.4,11.52,-17.81,20.84,0.01,0.1,-0.09,0.11,36.15,250.64,-234.35,285.22
EDDM,EKBI,0,60,0.84,7.37,-6.84,9.07,0.01,0.05,-0.08,0.08,14.35,66.65,-111.34,117.74
EDDM,EKCH,0,207,2.22,10.76,-15.16,18.68,-0.05,0.06,-0.13,0.03,-111.67,123.64,-291.13,61.83
EDDM,ELLX,0,119,-17.16,14.52,-33.81,8.99,-0.1,0.07,-0.17,-0.0,-129.34,87.62,-237.43,-2.29
EDDM,ENGM,0,83,-13.24,12.87,-25.36,4.32,-0.06,0.07,-0.16,0.05,-143.09,170.7,-392.04,108.09
EDDM,ENGM,1,27,-18.24,13.77,-39.91,1.08,-0.08,0.06,-0.15,0.03,-193.33,154.17,-373.63,74.78
EDDM,EPGD,0,21,-46.51,8.23,-61.3,-31.8,-0.15,0.05,-0.22,-0.08,-212.22,64.71,-303.4,-116.7
EDDM,EPGD,1,22,-55.85,10.66,-71.58,-38.67,-0.18,0.05,-0.25,-0.12,-254.55,68.28,-348.83,-163.3
EDDM,EPGD,2,17,-35.16,4.42,-43.84,-30.76,-0.12,0.04,-0.19,-0.06,-173.6,61.76,-266.04,-90.9
EDDM,EPKK,0,90,-29.63,40.68,-115.14,0.0,-0.1,0.14,-0.42,0.01,-232.28,333.73,-835.5,25.72
EDDM,EPPO,0,60,-37.42,8.37,-50.86,-24.3,-0.11,0.06,-0.18,-0.02,-158.95,77.78,-257.86,-22.14
EDDM,EPWA,0,157,-51.39,16.29,-68.2,-15.92,-0.09,0.09,-0.21,0.07,-162.16,163.77,-376.74,131.68
EDDM,EPWA,1,46,-22.07,15.45,-39.2,6.78,-0.07,0.06,-0.15,0.05,-101.08,90.28,-204.72,100.48
EDDM,EPWR,0,80,-36.16,10.96,-52.46,-18.71,-0.11,0.06,-0.19,-0.01,-157.88,97.7,-264.14,-18.8
EDDM,ESGG,0,88,-0.68,10.25,-24.4,12.76,-0.0,0.07,-0.09,0.1,-4.48,153.61,-227.31,226.63
EDDM,ESSA,0,25,3.45,15.21,-24.34,29.0,-0.03,0.14,-0.18,0.06,-80.79,336.03,-412.02,134.2
EDDM,ESSA,1,55,1.38,20.78,-26.7,16.87,-0.02,0.1,-0.15,0.08,-69.29,197.74,-377.67,147.48
EDDM,ESSA,2,57,-3.21,18.91,-28.08,24.68,-0.07,0.1,-0.21,0.11,-164.15,213.91,-473.62,173.98
EDDM,ESSA,3,16,0.32,8.34,-15.27,10.92,-0.07,0.08,-0.17,0.04,-171.18,188.79,-427.48,83.15
EDDM,EVRA,0,51,9.18,12.61,-12.05,26.45,0.04,0.06,-0.05,0.14,78.6,132.22,-97.7,303.4
EDDM,HECA,0,18,22.26,9.51,11.84,38.71,0.07,0.08,-0.03,0.21,186.24,206.32,-64.6,529.61
EDDM,HECA,1,42,26.3,19.37,7.56,61.24,0.14,0.11,-0.03,0.37,335.82,271.95,-78.08,920.51
EDDM,HEGN,0,26,13.57,15.32,3.08,25.2,0.03,0.07,-0.09,0.1,71.96,158.86,-245.42,274.62
EDDM,HEGN,1,32,20.97,15.65,8.28,46.99,0.04,0.08,-0.08,0.15,103.19,204.23,-211.96,425.94
EDDM,KCLT,0,7,-1.93,8.74,-10.88,10.57,0.01,0.08,-0.11,0.09,98.73,545.8,-711.16,612.86
EDDM,KCLT,1,23,-4.28,7.54,-21.54,3.7,-0.0,0.15,-0.11,0.09,-29.65,1005.16,-719.0,625.5
EDDM,KDEN,0,25,-2.46,8.22,-21.44,6.08,0.04,0.08,-0.04,0.23,237.69,452.48,-203.4,1242.98
EDDM,KDEN,1,34,-3.34,5.64,-12.48,3.02,0.01,0.05,-0.05,0.09,62.25,286.52,-270.56,490.09
EDDM,KEWR,0,20,-0.6,7.42,-14.35,9.94,0.03,0.13,-0.14,0.23,168.84,715.53,-771.05,1256.2
EDDM,KEWR,1,9,-7.67,7.9,-21.28,-2.08,0.15,0.08,0.06,0.27,846.08,426.51,356.32,1492.38
EDDM,KIAD,0,15,-0.37,5.76,-11.12,7.09,-0.01,0.08,-0.13,0.1,-96.08,509.71,-845.89,647.9
EDDM,KIAD,1,12,-7.07,8.8,-22.19,3.09,-0.05,0.03,-0.11,-0.02,-354.76,224.24,-722.96,-110.68
EDDM,KORD,0,22,-2.31,9.79,-11.03,2.5,0.01,0.06,-0.07,0.1,81.35,356.62,-481.38,605.65
EDDM,KORD,1,8,-7.15,16.16,-33.42,5.45,0.03,0.14,-0.1,0.25,217.29,887.49,-670.86,1623.93
EDDM,KORD,2,12,-7.69,8.86,-21.92,1.88,-0.02,0.06,-0.1,0.07,-138.27,374.06,-646.42,425.63
EDDM,KORD,3,18,-0.21,2.28,-3.93,3.66,0.06,0.12,-0.12,0.27,346.86,760.44,-758.58,1746.39
EDDM,KSFO,0,20,-3.28,8.75,-26.08,4.45,0.01,0.07,-0.06,0.11,56.52,435.55,-411.55,639.01
EDDM,KSFO,1,40,-1.13,9.7,-7.48,7.82,-0.01,0.05,-0.09,0.06,-54.54,330.01,-587.38,400.5
EDDM,LATI,0,41,-23.49,12.87,-36.6,-1.9,-0.03,0.06,-0.12,0.06,-86.44,139.98,-307.7,151.4
EDDM,LATI,1,15,-17.57,17.41,-32.16,6.66,-0.1,0.11,-0.24,0.06,-252.57,273.59,-578.77,153.57
EDDM,LBSF,0,66,-15.21,22.24,-40.72,14.2,-0.05,0.13,-0.13,0.04,-120.49,303.0,-325.15,95.88
EDDM,LBSF,1,21,-53.07,104.9,-50.7,-0.3,-0.14,0.21,-0.18,-0.0,-344.56,492.23,-412.5,-6.3
EDDM,LDDU,0,35,3.94,8.26,-2.08,19.74,0.05,0.07,-0.02,0.16,128.11,173.08,-62.34,409.69
EDDM,LDDU,1,25,2.95,7.34,-3.96,16.16,0.02,0.03,-0.04,0.06,64.08,88.4,-98.8,171.3
EDDM,LDSP,0,98,4.38,13.21,-14.86,27.6,0.04,0.07,-0.08,0.15,82.73,144.52,-90.44,337.94
EDDM,LDZA,0,70,1.38,20.96,-8.75,18.48,-0.0,0.09,-0.07,0.07,-1.87,138.88,-171.38,146.93
EDDM,LEBB,0,115,-3.47,20.03,-28.49,31.22,-0.01,0.08,-0.12,0.13,-19.65,175.84,-268.84,295.79
EDDM,LEBL,0,52,-8.46,11.88,-24.74,13.55,-0.05,0.08,-0.18,0.07,-120.4,209.16,-432.54,179.96
EDDM,LEBL,1,181,-1.56,13.24,-15.4,22.6,-0.03,0.08,-0.15,0.09,-77.81,210.28,-363.5,256.7
EDDM,LEIB,0,59,-17.14,20.6,-46.23,18.32,-0.06,0.06,-0.15,0.05,-153.39,158.2,-369.53,114.79
EDDM,LEMD,0,68,2.72,12.44,-9.33,31.78,0.02,0.09,-0.09,0.21,42.29,213.66,-197.1,463.85
EDDM,LEMD,1,22,-3.17,12.04,-19.17,12.34,0.03,0.12,-0.13,0.25,88.19,298.47,-288.55,623.75
EDDM,LEMD,2,176,-13.85,18.33,-38.4,6.38,-0.0,0.09,-0.13,0.13,-1.88,214.16,-306.62,304.02
EDDM,LEMG,0,17,-13.03,9.38,-27.36,-0.28,0.02,0.09,-0.09,0.13,60.88,242.91,-239.54,363.24
EDDM,LEMG,1,47,-8.99,9.31,-26.15,2.97,0.02,0.07,-0.1,0.15,55.95,189.22,-249.67,357.98
EDDM,LEPA,0,195,-0.62,11.66,-15.95,21.13,0.03,0.07,-0.08,0.15,72.28,186.07,-205.29,366.85
EDDM,LEPA,1,24,-15.3,17.33,-37.66,2.04,-0.02,0.07,-0.11,0.07,-60.65,158.92,-283.56,168.73
EDDM,LEPA,2,19,-14.02,20.63,-33.42,6.09,-0.0,0.07,-0.08,0.1,-4.03,173.37,-187.19,235.4
EDDM,LFBO,0,25,-3.32,14.14,-34.62,15.92,0.02,0.06,-0.07,0.11,40.02,131.43,-159.18,257.28
EDDM,LFBO,1,83,-0.81,25.91,-32.43,20.11,0.04,0.1,-0.07,0.16,104.03,239.3,-173.94,349.58
EDDM,LFLL,0,91,-1.09,11.93,-12.4,17.3,-0.0,0.06,-0.09,0.09,-7.67,103.74,-159.1,142.35
EDDM,LFML,0,56,12.23,17.32,-10.72,38.3,0.06,0.08,-0.06,0.19,133.51,184.18,-130.75,423.38
EDDM,LFML,1,29,-4.07,16.22,-25.52,20.2,0.03,0.09,-0.07,0.14,62.19,193.52,-162.88,317.76
EDDM,LFMN,0,59,-51.71,17.22,-77.95,-13.15,-0.26,0.08,-0.39,-0.13,-614.91,188.34,-923.66,-309.95
EDDM,LFMN,1,57,-53.51,16.07,-72.04,-30.32,-0.24,0.08,-0.36,-0.11,-540.33,183.78,-820.04,-249.68
EDDM,LFPG,0,31,-13.58,11.57,-27.8,5.8,0.04,0.08,-0.12,0.14,69.88,175.5,-285.65,258.3
EDDM,LFPG,1,83,-5.79,15.78,-27.29,23.52,-0.01,0.09,-0.13,0.14,-20.34,193.26,-322.01,271.69
EDDM,LFPG,2,142,-6.76,13.2,-29.74,16.91,-0.02,0.07,-0.14,0.08,-56.49,159.23,-340.37,193.96
EDDM,LFPG,3,76,-11.59,13.02,-36.08,4.77,-0.0,0.07,-0.09,0.1,-18.55,171.05,-245.0,190.3
EDDM,LFPO,0,60,-6.46,30.06,-45.52,47.4,0.05,0.11,-0.13,0.24,89.59,203.16,-237.97,435.88
EDDM,LGAV,0,86,1.4,15.17,-15.88,22.2,-0.01,0.07,-0.12,0.1,-28.4,165.21,-301.25,246.6
EDDM,LGAV,1,37,-3.67,19.41,-31.28,21.38,-0.0,0.09,-0.15,0.13,-7.71,238.02,-410.62,353.42
EDDM,LGAV,2,18,-0.88,17.59,-21.18,22.99,0.02,0.07,-0.07,0.13,38.6,172.16,-172.1,300.24
EDDM,LGAV,3,34,-5.68,11.62,-22.74,9.2,-0.03,0.06,-0.12,0.07,-76.37,175.06,-367.92,182.78
EDDM,LGAV,4,53,-4.15,17.49,-34.98,21.0,0.05,0.09,-0.1,0.19,232.1,369.99,-263.52,950.32
EDDM,LGIR,0,88,-3.77,10.61,-25.31,10.56,-0.02,0.06,-0.11,0.07,-58.79,142.24,-274.44,166.09
EDDM,LGIR,1,47,-5.46,21.9,-18.64,14.25,0.01,0.07,-0.11,0.1,31.86,183.5,-269.7,265.86
EDDM,LGTS,0,90,-3.56,18.23,-36.9,21.17,0.0,0.07,-0.12,0.12,2.44,169.77,-294.54,272.4
EDDM,LHBP,0,111,-15.26,13.78,-27.2,4.1,-0.04,0.06,-0.13,0.07,-93.06,141.18,-291.55,165.75
EDDM,LIBD,0,60,19.88,15.22,2.07,45.41,0.09,0.08,-0.0,0.22,158.65,140.46,-6.6,390.07
EDDM,LICC,0,26,-26.78,19.06,-47.22,0.08,-0.03,0.07,-0.13,0.03,-76.59,166.42,-308.4,84.75
EDDM,LICC,1,11,-47.82,16.68,-67.85,-25.2,-0.01,0.07,-0.09,0.1,-29.9,200.38,-229.15,284.7
EDDM,LICC,2,49,-31.88,35.87,-72.22,57.32,-0.01,0.12,-0.13,0.21,-23.56,290.54,-333.36,515.72
EDDM,LIEO,0,67,-23.02,16.72,-54.0,-3.36,-0.06,0.08,-0.21,0.02,-148.99,195.65,-554.51,41.67
EDDM,LIEO,1,1,-9.1,,-9.1,-9.1,-0.1,,-0.1,-0.1,-259.7,,-259.7,-259.7
EDDM,LIMC,0,118,-61.22,20.5,-83.32,-25.92,-0.24,0.08,-0.33,-0.11,-429.34,153.15,-600.6,-201.0
EDDM,LIMC,1,18,-33.88,29.18,-64.57,1.81,-0.14,0.14,-0.29,0.1,-538.22,706.43,-2142.16,226.9
EDDM,LIMF,0,71,15.66,14.44,-12.1,35.65,0.07,0.07,-0.04,0.17,135.1,129.23,-75.0,302.75
EDDM,LIML,0,58,-2.44,8.96,-13.44,14.92,-0.01,0.08,-0.08,0.07,-11.38,139.85,-150.0,124.92
EDDM,LIPE,0,87,-0.27,11.5,-11.7,19.77,-0.01,0.05,-0.08,0.08,-20.24,91.86,-150.0,150.0
EDDM,LIPX,0,56,-0.1,3.96,-4.53,1.35,-0.0,0.04,-0.07,0.07,-3.14,77.44,-120.0,120.0
EDDM,LIPZ,0,110,-49.35,14.71,-67.76,-21.6,-0.2,0.06,-0.27,-0.09,-357.75,109.95,-480.0,-164.05
EDDM,LIRF,0,71,-26.42,29.27,-43.4,0.55,-0.11,0.11,-0.22,-0.02,-286.45,289.79,-606.7,-46.7
EDDM,LIRF,1,105,-24.72,17.97,-43.4,7.1,-0.1,0.07,-0.21,0.02,-249.44,191.24,-513.38,45.7
EDDM,LIRN,0,107,-21.11,21.55,-45.85,11.03,-0.05,0.08,-0.15,0.08,-120.34,189.69,-403.64,179.03
EDDM,LIRQ,0,86,30.89,4.29,26.22,40.3,0.03,0.04,-0.03,0.1,63.24,80.17,-60.0,180.0
EDDM,LKPR,0,83,-16.84,12.69,-32.74,0.99,-0.07,0.05,-0.15,0.02,-153.68,115.29,-326.33,36.7
EDDM,LLBG,0,51,9.23,10.44,-4.1,27.3,0.01,0.06,-0.06,0.11,25.61,144.96,-144.3,281.55
EDDM,LLBG,1,16,10.35,14.16,-3.48,33.83,-0.0,0.11,-0.12,0.17,-4.99,295.16,-323.18,436.65
EDDM,LLBG,2,20,6.26,9.0,-2.8,22.57,-0.01,0.07,-0.12,0.09,-33.96,165.02,-293.78,216.64
EDDM,LMML,0,34,23.06,13.82,2.08,36.78,0.05,0.07,-0.07,0.13,126.84,160.18,-164.65,302.92
EDDM,LMML,1,27,18.36,10.99,-3.08,33.41,0.05,0.05,-0.02,0.13,114.19,120.13,-49.49,289.27
EDDM,LMML,2,19,20.78,12.66,-0.41,35.99,0.05,0.09,-0.05,0.14,115.78,203.79,-120.49,350.31
EDDM,LOWG,0,40,2.33,5.58,-5.82,9.71,0.05,0.06,-0.02,0.15,102.0,113.22,-23.3,300.0
EDDM,LOWG,1,34,3.22,5.45,-4.24,10.27,0.01,0.04,-0.05,0.07,14.27,59.39,-63.01,104.46
EDDM,LOWW,0,171,6.35,14.71,-9.5,29.8,0.0,0.07,-0.08,0.12,2.16,133.36,-187.5,245.0
EDDM,LPPR,0,59,0.69,15.44,-17.42,26.74,0.03,0.08,-0.07,0.12,82.91,200.11,-169.19,326.7
EDDM,LPPT,0,149,-9.94,17.5,-38.0,16.8,0.04,0.09,-0.08,0.18,111.64,234.28,-208.3,483.36
EDDM,LRCL,0,60,1.67,6.69,-10.9,11.81,0.04,0.05,-0.04,0.12,73.0,93.54,-64.65,208.07
EDDM,LROP,0,85,-34.57,10.66,-41.58,-11.36,-0.12,0.06,-0.23,-0.02,-283.76,152.67,-536.68,-46.62
EDDM,LRSB,0,61,12.87,12.45,-7.5,26.7,0.03,0.06,-0.07,0.13,40.7,85.8,-94.9,179.3
EDDM,LRTR,0,23,-3.84,7.85,-10.35,2.53,-0.0,0.04,-0.05,0.08,0.82,77.12,-94.58,136.52
EDDM,LRTR,1,64,-2.79,11.38,-9.58,23.28,-0.0,0.04,-0.06,0.08,-3.89,89.57,-132.84,143.8
EDDM,LSGG,0,17,-4.96,7.46,-16.68,1.66,0.02,0.04,-0.06,0.06,41.43,70.41,-91.26,116.7
EDDM,LSGG,1,26,-11.81,9.65,-26.08,2.82,0.0,0.05,-0.09,0.06,2.19,80.52,-137.0,95.42
EDDM,LSGG,2,49,-8.33,6.87,-13.1,-2.34,0.0,0.06,-0.08,0.12,11.13,109.43,-123.98,192.0
EDDM,LSGG,3,27,-7.47,7.51,-13.6,-2.3,-0.01,0.04,-0.07,0.05,-20.15,69.03,-128.3,81.85
EDDM,LSZH,0,160,8.75,10.13,-8.41,23.2,0.03,0.07,-0.07,0.14,61.37,138.38,-128.62,277.78
EDDM,LTAI,0,20,9.23,20.16,-23.56,36.82,0.09,0.12,-0.03,0.26,218.25,303.41,-87.14,647.75
EDDM,LTAI,1,18,-1.27,20.57,-22.16,31.0,0.06,0.17,-0.09,0.47,146.27,412.46,-220.81,1103.12
EDDM,LTAI,2,47,-3.76,17.69,-28.74,20.98,0.08,0.11,-0.08,0.29,179.68,259.86,-208.3,666.19
EDDM,LTAI,3,63,5.92,28.89,-21.99,44.93,0.1,0.12,-0.01,0.33,241.39,273.69,-32.94,795.97
EDDM,LTAI,4,21,-4.36,12.56,-25.4,17.0,0.02,0.11,-0.17,0.16,59.77,266.16,-416.7,411.1
EDDM,LTAI,5,23,2.54,12.67,-15.05,25.93,0.07,0.08,-0.05,0.17,162.97,194.15,-120.0,380.97
EDDM,LTBJ,0,19,13.26,16.9,-1.76,26.16,0.06,0.09,-0.02,0.24,134.26,222.62,-48.0,580.0
EDDM,LTBJ,1,41,15.69,9.82,-4.4,28.7,0.04,0.07,-0.03,0.1,104.14,170.42,-80.0,240.0
EDDM,LTBJ,2,14,42.93,57.55,10.27,114.83,0.13,0.27,-0.06,0.71,323.15,666.82,-134.0,1783.2
EDDM,LTFJ,0,31,-4.15,41.67,-35.3,54.8,0.04,0.18,-0.12,0.4,106.65,437.98,-312.5,999.95
EDDM,LTFJ,1,44,-10.61,25.11,-36.74,39.02,0.02,0.13,-0.12,0.22,39.74,312.82,-291.68,541.69
EDDM,LTFM,0,19,-14.74,18.19,-37.82,15.0,-0.04,0.1,-0.22,0.09,-227.89,553.52,-1374.3,282.4
EDDM,LTFM,1,51,-31.81,15.86,-49.2,-1.75,-0.06,0.11,-0.15,0.07,-279.15,614.03,-953.25,376.65
EDDM,LTFM,2,22,-21.53,13.02,-35.74,1.17,-0.1,0.11,-0.27,0.05,-536.73,634.79,-1648.14,137.17
EDDM,LTFM,3,28,-16.64,29.38,-40.58,45.38,0.01,0.14,-0.08,0.2,43.41,401.01,-263.69,569.14
EDDM,LYBE,0,53,-6.45,19.51,-26.2,33.08,0.0,0.08,-0.11,0.16,8.54,173.42,-228.56,337.96
EDDM,OMDB,0,60,20.26,21.07,-7.02,52.9,0.26,0.13,0.08,0.45,3135.33,1603.93,923.0,5460.36
EDDM,OTHH,0,69,26.05,19.2,-0.56,54.9,0.1,0.09,-0.03,0.24,645.14,573.82,-156.62,1707.54
EDDM,VTBS,0,17,-0.04,3.91,-4.36,6.82,0.01,0.04,-0.04,0.07,76.38,206.84,-236.54,387.02
EDDM,VTBS,1,23,-3.3,4.42,-9.17,4.41,-0.02,0.04,-0.07,0.05,-102.2,247.65,-401.67,285.3
EDDM,VTBS,2,20,1.16,4.39,-3.74,8.0,0.06,0.05,0.01,0.12,321.44,263.82,33.42,710.54
EDDM,WSSS,0,33,-1.94,7.03,-10.66,10.6,0.15,0.06,0.09,0.24,887.13,355.06,514.86,1368.82
EDDM,WSSS,1,18,-4.52,10.23,-16.45,4.02,0.08,0.04,0.04,0.17,471.97,241.84,252.62,959.35
EDDN,EDDF,0,133,-13.21,21.14,-44.7,16.68,-0.12,0.07,-0.23,-0.02,-232.06,158.84,-528.1,-29.76
EDDN,EHAM,0,100,12.95,9.07,-0.04,28.03,0.07,0.07,-0.03,0.19,153.94,150.51,-58.66,409.38
EDDN,LEPA,0,159,-10.87,12.51,-28.6,12.16,-0.0,0.07,-0.1,0.1,-12.5,168.85,-249.44,249.65
EDDN,LFPG,0,50,-21.67,19.11,-43.62,11.65,0.07,0.06,-0.04,0.17,149.3,138.55,-100.76,383.37
EDDN,LFPG,1,43,-27.23,14.49,-47.04,-4.73,0.05,0.07,-0.02,0.16,99.97,130.34,-41.21,314.35
EDDN,LFPG,2,20,5.41,16.65,-14.69,34.42,0.07,0.06,-0.0,0.15,165.35,131.01,-8.26,355.1
EDDN,LSZH,0,38,-19.67,9.21,-29.06,-4.69,-0.07,0.13,-0.24,0.17,-170.36,291.33,-543.92,331.3
EDDN,LTAI,0,170,-8.19,17.56,-40.33,19.54,0.06,0.1,-0.06,0.2,145.83,224.23,-133.25,480.0
EDDN,LTFM,0,88,-32.94,15.28,-53.26,-5.42,-0.04,0.06,-0.12,0.06,-108.7,151.79,-326.67,160.24
EDDP,EBBR,0,13,-27.95,13.4,-44.18,-8.28,-0.06,0.04,-0.11,-0.01,-228.62,163.12,-452.0,-37.98
EDDP,EBBR,1,17,-8.92,9.06,-20.28,7.22,-0.02,0.07,-0.13,0.07,-111.29,323.79,-586.64,273.8
EDDP,EBBR,2,16,-22.84,7.35,-33.85,-11.08,-0.03,0.06,-0.14,0.04,-215.65,387.18,-832.5,305.5
EDDP,EBBR,3,16,-6.84,11.65,-26.75,7.8,0.02,0.05,-0.06,0.09,105.69,211.41,-233.35,349.98
EDDP,EBBR,4,5,-23.58,9.13,-34.54,-14.1,-0.03,0.06,-0.11,0.03,-217.66,361.63,-668.3,120.04
EDDP,EDDF,0,185,-39.43,21.96,-62.9,-1.62,-0.16,0.07,-0.28,-0.05,-518.99,449.27,-1599.9,-97.6
EDDP,EDDK,0,24,21.44,14.86,-1.82,39.2,0.13,0.1,0.03,0.31,373.27,319.45,66.56,957.83
EDDP,EDDK,1,31,9.68,17.92,-10.25,36.75,0.11,0.09,-0.03,0.26,368.23,288.69,-109.85,794.0
EDDP,EDDM,0,44,-24.26,9.59,-34.95,-14.62,-0.15,0.05,-0.22,-0.07,-235.33,96.49,-425.54,-104.0
EDDP,EDDM,1,4,-37.07,19.5,-59.81,-19.63,-0.11,0.09,-0.19,-0.01,-158.88,121.57,-272.47,-32.79
EDDP,EGNX,0,23,-14.46,16.1,-36.23,7.27,0.02,0.07,-0.05,0.13,115.04,348.34,-264.05,724.12
EDDP,EGNX,1,70,-7.05,13.5,-21.76,19.3,0.03,0.05,-0.04,0.12,165.77,244.89,-185.7,728.08
EDDP,EGNX,2,54,-14.54,27.39,-29.84,8.18,0.01,0.06,-0.07,0.09,98.83,422.21,-354.04,644.92
EDDP,EKCH,0,30,-28.06,22.78,-40.93,-11.83,-0.1,0.06,-0.19,-0.02,-357.02,224.49,-582.34,-60.99
EDDP,KCVG,0,21,-9.08,20.39,-29.2,6.3,0.0,0.06,-0.1,0.06,26.69,326.1,-537.8,407.3
EDDP,KCVG,1,12,-5.8,20.67,-36.82,5.07,0.02,0.05,-0.06,0.07,123.21,365.86,-433.5,448.51
EDDP,KCVG,2,17,-15.18,34.07,-70.92,2.54,0.01,0.06,-0.08,0.09,64.91,376.25,-524.64,621.56
EDDP,LEMD,0,25,-6.14,7.86,-17.6,9.4,-0.0,0.08,-0.11,0.11,-18.54,196.3,-337.28,276.0
EDDP,LEPA,0,87,-10.31,17.8,-40.39,15.47,0.0,0.08,-0.14,0.13,13.37,222.07,-338.94,349.75
EDDP,LFPG,0,20,-5.95,21.15,-32.44,19.36,0.02,0.13,-0.1,0.2,126.25,720.78,-266.71,862.95
EDDP,LFPG,1,47,-2.47,21.59,-23.67,34.98,0.02,0.06,-0.07,0.11,111.86,254.48,-216.23,598.3
EDDP,LIMC,0,66,-43.89,19.41,-66.08,1.95,-0.16,0.08,-0.3,-0.02,-572.99,360.05,-1016.42,-43.3
EDDP,LIMC,1,17,-64.84,20.13,-85.58,-20.6,-0.21,0.04,-0.26,-0.15,-895.16,373.09,-1338.38,-360.0
EDDP,LOWW,0,68,6.6,17.68,-23.07,37.87,0.09,0.07,0.0,0.22,175.98,131.84,0.0,410.02
EDDP,LTAI,0,75,-6.94,23.59,-49.84,25.48,0.08,0.13,-0.12,0.31,182.75,303.67,-280.0,696.0
EDDP,LTAI,1,66,-11.18,22.73,-45.68,23.38,0.06,0.11,-0.08,0.25,130.93,250.08,-193.75,612.65
EDDP,LTFM,0,21,-32.17,17.63,-62.2,-10.2,-0.02,0.22,-0.23,0.1,-49.92,542.58,-563.4,240.0
EDDP,VHHH,0,31,-12.19,22.51,-33.9,11.25,-0.01,0.1,-0.13,0.08,-53.19,796.97,-1033.5,648.9
EDDP,VHHH,1,25,-9.27,21.37,-35.4,16.34,-0.03,0.07,-0.13,0.08,-212.43,543.76,-1022.2,594.08
EDDS,BKPR,0,41,-21.23,23.4,-64.6,8.4,-0.03,0.08,-0.2,0.07,-87.54,232.57,-500.0,166.6
