ADEP,ADES,cluster_kmeans,n,delta_dist_nm_pooled_mean,delta_dist_nm_pooled_std,delta_dist_nm_pooled_p5,delta_dist_nm_pooled_p95,delta_duration_h_pooled_mean,delta_duration_h_pooled_std,delta_duration_h_pooled_p5,delta_duration_h_pooled_p95
GCLP,EGGD,0,15,12.3,13.15,-3.31,34.24,-0.02,0.16,-0.29,0.17
GCLP,EGGD,1,35,3.5,11.1,-10.96,20.58,-0.01,0.17,-0.22,0.22
GCLP,EGKK,0,34,10.26,11.39,-11.66,27.07,0.03,0.17,-0.23,0.33
GCLP,EGKK,1,29,5.82,16.15,-14.92,29.36,0.0,0.16,-0.23,0.22
GCLP,EHAM,0,66,11.92,18.4,-19.18,42.48,0.0,0.16,-0.3,0.28
GCLP,GCFV,0,504,1.66,2.16,-0.28,1.8,0.04,0.04,0.01,0.08
GCLP,GCGM,0,60,-30.71,7.51,-42.93,-19.78,-0.23,0.03,-0.28,-0.18
GCLP,GCHI,0,74,-26.21,8.5,-40.18,-13.0,-0.03,0.06,-0.11,0.11
GCLP,GCLA,0,196,1.23,2.11,-2.12,3.52,0.02,0.03,-0.03,0.08
GCLP,GCRR,0,668,1.9,3.18,-1.69,6.7,0.02,0.03,-0.02,0.08
GCLP,GCTS,0,149,-41.25,9.45,-56.58,-28.32,-0.1,0.05,-0.16,-0.02
GCLP,GCXO,0,677,-2.18,3.76,-3.0,5.04,-0.08,0.03,-0.12,-0.02
GCLP,LEBL,0,65,-4.56,22.22,-36.22,31.14,-0.03,0.15,-0.25,0.22
GCLP,LEBL,1,29,-8.73,17.29,-35.28,18.36,-0.03,0.17,-0.27,0.24
GCLP,LEBL,2,19,0.14,15.37,-14.23,18.59,0.0,0.12,-0.2,0.15
GCLP,LEMD,0,72,-16.08,21.02,-51.59,9.68,-0.0,0.15,-0.21,0.25
GCLP,LEMD,1,289,6.89,17.8,-2.1,49.6,0.05,0.11,-0.12,0.21
GCLP,LEMD,2,17,-6.81,7.65,-16.4,4.16,0.03,0.09,-0.11,0.15
GCLP,LEMG,0,69,-11.58,13.3,-32.8,0.26,0.01,0.1,-0.14,0.15
GCLP,LEST,0,50,6.25,12.49,-9.12,30.99,0.02,0.11,-0.14,0.18
GCLP,LEZL,0,19,-14.7,13.04,-35.3,-2.17,-0.0,0.08,-0.14,0.1
GCLP,LEZL,1,54,-2.52,4.75,-11.65,5.54,0.03,0.08,-0.11,0.14
GCRR,EGBB,0,27,-0.67,18.73,-22.3,24.23,-0.06,0.17,-0.34,0.19
GCRR,EGBB,1,25,-2.93,64.43,-72.04,109.86,-0.06,0.21,-0.33,0.28
GCRR,EGCC,0,18,4.66,16.02,-19.97,26.37,-0.0,0.17,-0.24,0.22
GCRR,EGCC,1,85,-2.92,28.01,-36.6,55.48,0.0,0.18,-0.28,0.27
GCRR,EGGD,0,60,7.89,16.28,-18.1,35.34,-0.03,0.16,-0.29,0.2
GCRR,EGKK,0,69,15.83,43.23,-13.66,43.18,0.07,0.25,-0.22,0.47
GCRR,EGKK,1,43,12.81,10.07,0.19,28.33,0.07,0.19,-0.18,0.43
GCRR,EGSS,0,69,2.89,11.81,-9.26,24.02,0.05,0.15,-0.16,0.31
GCRR,EIDW,0,20,-22.3,14.58,-44.74,0.09,-0.1,0.13,-0.3,0.06
GCRR,EIDW,1,36,-17.37,19.69,-41.68,20.8,-0.0,0.24,-0.26,0.38
GCRR,EIDW,2,36,-27.22,31.9,-61.62,20.2,-0.09,0.21,-0.36,0.35
GCRR,EIDW,3,20,-3.66,13.89,-20.12,17.62,-0.09,0.18,-0.31,0.14
GCRR,GCLP,0,669,-15.86,9.12,-28.98,1.7,-0.01,0.06,-0.11,0.09
GCRR,GCTS,0,61,-25.88,9.47,-40.5,-5.4,-0.15,0.07,-0.24,-0.05
GCRR,GCXO,0,393,-14.59,3.73,-19.7,-7.22,-0.11,0.04,-0.18,-0.03
GCRR,LEBL,0,73,1.22,21.37,-32.96,35.54,-0.03,0.13,-0.23,0.21
GCRR,LEMD,0,71,-5.05,24.9,-23.3,39.45,0.02,0.12,-0.17,0.2
GCRR,LEMD,1,62,4.47,16.26,-4.77,47.92,0.06,0.09,-0.07,0.2
GCRR,LEMD,2,20,-12.07,19.42,-46.06,13.87,-0.0,0.14,-0.15,0.25
GCTS,EBBR,0,45,9.7,24.86,-18.7,69.9,-0.05,0.17,-0.25,0.27
GCTS,EBBR,1,18,-0.58,17.26,-24.12,25.82,-0.05,0.19,-0.31,0.21
GCTS,EDDF,0,15,-79.14,32.81,-121.72,-31.82,-0.22,0.16,-0.44,0.02
GCTS,EDDF,1,37,-47.54,122.04,-94.8,-11.86,-0.16,0.37,-0.45,0.14
GCTS,EDDL,0,17,-32.84,27.73,-62.0,17.68,-0.08,0.18,-0.34,0.14
GCTS,EDDL,1,34,-18.81,18.39,-41.2,10.14,-0.09,0.19,-0.44,0.14
GCTS,EGBB,0,39,-19.28,31.95,-56.89,43.51,-0.1,0.22,-0.39,0.17
GCTS,EGBB,1,20,-0.62,25.61,-21.6,47.3,-0.05,0.16,-0.21,0.21
GCTS,EGBB,2,6,-18.58,28.3,-38.52,22.07,-0.1,0.13,-0.23,0.08
GCTS,EGBB,3,18,1.28,39.44,-54.32,69.9,-0.08,0.24,-0.36,0.3
GCTS,EGCC,0,110,-8.9,38.35,-53.28,71.44,-0.04,0.21,-0.37,0.27
GCTS,EGCC,1,35,-3.69,24.93,-43.63,40.05,-0.08,0.19,-0.3,0.24
GCTS,EGCC,2,18,9.93,15.86,-13.26,32.78,-0.06,0.21,-0.3,0.15
GCTS,EGCC,3,17,-15.25,19.62,-48.98,12.22,-0.06,0.18,-0.38,0.18
GCTS,EGGD,0,83,4.52,38.66,-36.1,105.63,-0.02,0.18,-0.29,0.29
GCTS,EGKK,0,26,0.75,20.61,-26.95,35.83,0.01,0.2,-0.27,0.32
GCTS,EGKK,1,110,4.99,14.91,-19.43,29.7,0.05,0.22,-0.25,0.42
GCTS,EGNM,0,35,-0.32,30.37,-23.42,51.64,-0.04,0.19,-0.28,0.24
GCTS,EGNM,1,22,0.1,17.39,-27.98,24.43,-0.07,0.18,-0.32,0.19
GCTS,EGNT,0,36,4.3,31.15,-21.9,52.08,-0.03,0.17,-0.24,0.26
GCTS,EGNT,1,20,-0.8,26.75,-38.68,35.61,-0.02,0.21,-0.32,0.33
GCTS,EGNX,0,68,-5.83,34.11,-37.36,87.53,-0.03,0.19,-0.25,0.28
GCTS,EGPF,0,31,-15.37,24.34,-37.1,14.65,-0.11,0.18,-0.34,0.22
GCTS,EGPF,1,20,-9.03,12.78,-34.64,7.16,-0.06,0.19,-0.32,0.19
GCTS,EGPH,0,29,-13.39,14.04,-32.82,5.3,-0.02,0.18,-0.25,0.26
GCTS,EGPH,1,19,-7.58,23.53,-40.91,19.71,-0.08,0.24,-0.36,0.45
GCTS,EGPH,2,29,-5.48,14.22,-26.98,11.42,-0.11,0.21,-0.43,0.24
GCTS,EGSS,0,36,0.26,25.45,-31.88,65.68,0.06,0.17,-0.23,0.27
GCTS,EGSS,1,76,-6.42,24.48,-36.22,17.35,0.0,0.2,-0.28,0.37
GCTS,EIDW,0,21,-39.72,75.1,-86.1,129.3,-0.17,0.17,-0.4,0.13
GCTS,EIDW,1,26,-16.15,13.76,-40.48,11.48,-0.2,0.2,-0.51,0.04
GCTS,EIDW,2,18,-18.95,14.28,-42.62,0.41,-0.08,0.17,-0.31,0.18
GCTS,GCLA,0,60,1.85,2.97,-2.88,4.1,0.05,0.02,0.02,0.08
GCTS,GCLP,0,157,-14.27,6.86,-22.8,-4.3,-0.03,0.03,-0.08,0.02
GCTS,GCLP,1,18,-11.99,7.23,-22.76,-4.26,-0.2,0.02,-0.23,-0.16
GCTS,GCRR,0,65,3.71,5.81,-0.48,9.94,0.04,0.07,-0.1,0.12
GCTS,LEMD,0,21,-25.66,23.04,-57.7,10.7,-0.04,0.13,-0.21,0.19
GCTS,LEMD,1,80,-3.45,20.19,-20.7,48.22,0.04,0.12,-0.14,0.22
GCXO,GCFV,0,310,-8.15,6.06,-22.4,1.51,0.01,0.06,-0.05,0.08
GCXO,GCGM,0,60,-1.51,5.47,-2.7,-1.1,-0.38,0.04,-0.42,-0.32
GCXO,GCHI,0,172,6.27,8.81,-2.8,20.64,0.05,0.06,-0.02,0.16
GCXO,GCLA,0,587,2.34,5.25,-1.3,9.8,0.03,0.03,-0.0,0.1
GCXO,GCLP,0,670,17.93,11.02,1.5,37.48,-0.02,0.06,-0.11,0.07
GCXO,GCRR,0,393,-1.08,5.08,-11.34,6.02,0.04,0.04,-0.02,0.09
GCXO,LEBL,0,96,4.43,23.41,-29.12,45.15,0.1,0.14,-0.12,0.36
GCXO,LEBL,1,35,2.26,18.01,-26.16,28.04,0.02,0.13,-0.2,0.2
GCXO,LEMD,0,228,3.28,17.13,-12.4,45.75,0.04,0.11,-0.14,0.23
GCXO,LEMD,1,68,-18.19,22.3,-59.48,7.06,-0.03,0.15,-0.26,0.19
GCXO,LEMD,2,29,-0.58,19.25,-19.46,33.16,0.01,0.09,-0.11,0.16
GCXO,LEMD,3,21,11.44,32.84,-28.9,80.5,0.17,0.14,-0.08,0.41
GCXO,LEMG,0,60,-8.86,15.23,-33.5,14.32,0.11,0.1,-0.07,0.27
GCXO,LEZL,0,48,5.4,8.34,-6.56,16.23,0.14,0.09,-0.02,0.28
GCXO,LEZL,1,41,-26.0,15.5,-49.3,-4.0,-0.05,0.08,-0.17,0.08
GEML,LEMD,0,78,14.82,26.27,-9.3,68.39,0.1,0.11,-0.03,0.36
GEML,LEMD,1,26,-2.57,30.91,-36.2,41.45,0.02,0.11,-0.13,0.18
GEML,LEMG,0,210,-62.07,16.41,-81.9,-32.91,-0.18,0.08,-0.29,-0.04
GMAD,GMMN,0,46,-11.4,10.11,-23.25,9.43,0.02,0.08,-0.09,0.14
GMAD,GMMN,1,63,-18.75,15.18,-39.37,4.87,-0.02,0.1,-0.13,0.21
GMAD,LFPO,0,104,0.61,21.96,-24.84,26.9,-0.0,0.15,-0.22,0.26
GMAD,LFPO,1,21,-22.56,23.75,-57.9,2.9,-0.06,0.16,-0.3,0.13
GMFO,GMMN,0,33,2.95,12.29,-8.48,25.52,0.14,0.11,0.0,0.32
GMFO,GMMN,1,27,-2.96,12.55,-8.97,13.56,0.09,0.28,-0.07,0.76
GMFO,LFPO,0,68,-3.88,20.0,-28.63,35.15,-0.0,0.11,-0.15,0.16
GMFO,LFPO,1,22,-15.25,30.01,-49.9,35.97,-0.03,0.08,-0.15,0.08
GMME,LFPG,0,43,-14.09,13.57,-24.99,15.48,-0.05,0.11,-0.19,0.11
GMME,LFPG,1,32,-14.98,15.86,-41.4,9.47,-0.05,0.1,-0.2,0.09
GMME,LFPO,0,42,0.16,16.06,-20.36,19.3,0.01,0.14,-0.17,0.26
GMME,LFPO,1,30,-12.91,18.76,-37.0,6.98,-0.03,0.14,-0.19,0.18
GMMH,GMMN,0,54,-12.91,7.5,-21.77,-0.93,0.01,0.07,-0.12,0.15
GMML,GMMN,0,58,-15.71,7.44,-22.52,-2.33,0.03,0.1,-0.09,0.24
GMMN,CYUL,0,41,0.43,49.52,-42.9,80.9,0.05,0.25,-0.26,0.48
GMMN,CYUL,1,31,0.17,24.74,-23.95,38.55,0.04,0.19,-0.2,0.38
GMMN,DIAP,0,20,6.52,15.25,-4.42,29.6,0.01,0.1,-0.12,0.15
GMMN,DIAP,1,19,0.92,8.4,-8.79,9.81,-0.03,0.06,-0.12,0.05
GMMN,DIAP,2,15,7.6,29.29,-6.76,58.13,0.02,0.14,-0.12,0.27
GMMN,DTTA,0,41,10.94,6.56,1.9,22.5,0.06,0.09,-0.04,0.23
GMMN,DTTA,1,60,-4.05,37.66,-64.37,49.16,0.01,0.14,-0.22,0.23
GMMN,EBBR,0,25,14.26,10.4,-3.58,30.08,0.05,0.15,-0.18,0.25
GMMN,EBBR,1,32,18.66,13.25,-3.02,39.51,0.07,0.1,-0.06,0.25
GMMN,EBBR,2,16,19.32,10.75,4.52,33.72,0.1,0.18,-0.1,0.41
GMMN,EDDF,0,32,-65.61,19.46,-87.82,-35.86,-0.23,0.12,-0.37,-0.05
GMMN,EDDF,1,27,-34.67,26.82,-73.72,10.85,-0.18,0.13,-0.39,-0.01
GMMN,GMAD,0,51,-1.84,5.65,-12.05,3.7,-0.05,0.11,-0.13,0.07
GMMN,GMAD,1,42,-5.71,5.32,-13.66,1.1,-0.01,0.04,-0.07,0.03
GMMN,GMAD,2,17,-2.31,5.41,-10.42,3.18,-0.03,0.12,-0.09,0.08
GMMN,GMFO,0,23,-5.84,6.12,-9.6,-2.13,0.1,0.22,-0.02,0.38
GMMN,GMFO,1,36,-1.67,6.27,-9.2,8.55,0.1,0.09,-0.01,0.25
GMMN,GMMH,0,52,8.54,5.79,-2.54,15.19,0.04,0.08,-0.09,0.18
GMMN,GMML,0,58,9.6,6.93,-3.36,20.1,0.08,0.08,-0.03,0.19
GMMN,GMMX,0,74,-5.29,7.3,-17.57,5.69,0.03,0.07,-0.07,0.14
GMMN,GMMX,1,59,-9.94,9.88,-22.81,0.87,0.04,0.08,-0.06,0.2
GMMN,GOBD,0,66,14.66,16.32,-7.5,41.8,0.12,0.13,-0.08,0.36
GMMN,GQNO,0,12,7.19,4.1,2.06,13.72,0.05,0.05,-0.02,0.13
GMMN,GQNO,1,26,-0.13,7.95,-12.32,10.62,0.27,0.09,0.13,0.45
GMMN,GQNO,2,18,14.45,5.29,9.44,22.94,0.08,0.07,-0.02,0.17
GMMN,HECA,0,59,14.67,15.22,-2.48,40.64,0.04,0.14,-0.1,0.36
GMMN,HECA,1,31,12.98,27.31,-18.95,50.55,0.08,0.15,-0.17,0.32
GMMN,KJFK,0,23,-1.18,23.85,-20.93,46.04,0.06,0.21,-0.21,0.46
GMMN,KJFK,1,28,-1.09,62.75,-65.32,110.04,0.08,0.21,-0.18,0.35
GMMN,LEBL,0,63,0.85,21.01,-30.07,36.61,0.01,0.1,-0.12,0.18
GMMN,LEMD,0,41,2.33,12.1,-6.8,33.9,0.08,0.09,0.0,0.22
GMMN,LEMD,1,36,4.95,18.06,-7.4,51.25,0.08,0.07,-0.01,0.19
GMMN,LEMD,2,29,-12.16,16.48,-41.08,6.8,0.07,0.13,-0.11,0.3
GMMN,LEMG,0,45,-16.97,18.71,-46.88,10.92,0.03,0.16,-0.14,0.33
GMMN,LEMG,1,19,-18.22,12.44,-32.3,0.0,0.01,0.07,-0.09,0.1
GMMN,LFLL,0,62,9.37,31.15,-22.27,63.03,0.05,0.12,-0.08,0.2
GMMN,LFPG,0,104,-10.23,24.14,-37.8,33.71,-0.03,0.16,-0.25,0.22
GMMN,LFPG,1,47,-8.44,19.36,-29.5,22.34,-0.04,0.16,-0.26,0.26
GMMN,LFPO,0,238,3.58,20.86,-18.2,36.6,0.04,0.15,-0.21,0.31
GMMN,LIMC,0,54,-60.75,23.56,-83.49,-11.5,-0.21,0.12,-0.37,-0.01
GMMN,LIPE,0,66,-5.25,14.48,-20.52,17.9,0.01,0.11,-0.16,0.24
GMMN,LPPT,0,112,-17.94,29.84,-49.67,32.0,0.03,0.2,-0.14,0.48
GMMN,LTFJ,0,39,-21.35,20.58,-46.11,10.33,0.0,0.17,-0.23,0.26
GMMN,LTFJ,1,22,-20.35,17.71,-43.84,6.07,0.01,0.17,-0.22,0.32
GMMN,LTFM,0,28,-13.35,30.09,-43.43,26.27,-0.06,0.15,-0.24,0.22
GMMN,LTFM,1,33,-15.43,14.13,-35.32,4.48,0.05,0.18,-0.18,0.31
GMMN,OEJN,0,53,33.24,23.66,7.98,71.98,0.19,0.13,-0.0,0.37
GMMW,EBBR,0,37,18.08,13.03,-4.32,36.14,0.05,0.11,-0.09,0.19
GMMW,EBBR,1,15,16.77,6.91,6.27,27.13,-0.04,0.1,-0.16,0.08
GMMX,EGKK,0,118,16.47,21.12,-10.14,42.83,0.1,0.21,-0.2,0.47
GMMX,GMMN,0,97,6.01,8.58,-3.66,23.62,0.05,0.09,-0.12,0.17
GMMX,GMMN,1,30,1.07,6.77,-8.03,11.29,-0.0,0.04,-0.05,0.06
GMMX,LEMD,0,40,8.18,13.38,-5.1,32.73,0.07,0.08,-0.06,0.21
GMMX,LEMD,1,42,11.36,18.17,-5.42,54.26,0.03,0.09,-0.07,0.19
GMMX,LEMD,2,21,-6.67,34.02,-50.9,16.6,-0.02,0.15,-0.16,0.1
GMMX,LFPG,0,123,-4.65,28.03,-31.86,24.34,-0.04,0.16,-0.28,0.22
GMMX,LFPO,0,84,3.69,17.78,-15.9,28.66,0.02,0.17,-0.26,0.32
GMMX,LFPO,1,98,7.8,18.07,-16.52,35.82,0.02,0.14,-0.18,0.27
GMMX,LFRS,0,24,0.63,33.77,-26.09,30.38,0.03,0.22,-0.21,0.25
GMMX,LFRS,1,41,9.14,17.48,-10.2,38.2,0.07,0.13,-0.1,0.31
GMMX,LPPT,0,73,-17.57,26.17,-45.06,28.56,0.03,0.1,-0.09,0.28
GMMX,LSGG,0,19,7.55,8.14,-0.48,18.44,-0.14,0.14,-0.32,0.1
GMMX,LSGG,1,39,-0.72,23.94,-38.02,52.84,0.0,0.14,-0.18,0.16
GMTT,EBBR,0,23,14.57,18.33,-13.27,39.54,0.03,0.08,-0.06,0.17
GMTT,EBBR,1,15,11.63,12.97,-4.36,33.77,0.07,0.15,-0.09,0.34
GMTT,EBBR,2,24,19.89,10.13,2.73,33.47,0.07,0.1,-0.08,0.18
GMTT,LEBL,0,59,2.3,23.21,-28.66,40.29,-0.0,0.1,-0.15,0.15
GMTT,LEMD,0,56,2.96,15.43,-10.3,46.75,3.0,7.88,-0.04,23.81
GMTT,LEMD,1,20,3.2,33.29,-26.01,61.82,0.82,3.66,-0.12,1.23
GMTT,LEMD,2,15,-9.17,15.55,-37.67,8.42,1.09,4.19,-0.14,4.99
GOBD,GMMN,0,64,-3.42,16.0,-15.68,32.74,0.02,0.11,-0.15,0.22
GOBD,LFPG,0,31,-1.28,46.6,-36.05,56.35,0.04,0.18,-0.17,0.32
GOBD,LFPG,1,32,-25.71,31.14,-63.2,8.4,-0.03,0.19,-0.28,0.3
GQNO,GMMN,0,24,-15.97,6.09,-23.56,-5.1,0.15,0.09,0.04,0.25
GQNO,GMMN,1,29,-12.17,7.44,-21.12,-0.12,0.16,0.06,0.08,0.24
GVAC,LPPT,0,22,-4.94,22.62,-29.06,27.35,-0.01,0.17,-0.27,0.23
GVAC,LPPT,1,29,0.42,28.52,-32.38,48.72,0.12,0.15,-0.13,0.33
GVNP,LPPT,0,19,-20.14,25.14,-47.53,14.55,0.01,0.16,-0.23,0.25
GVNP,LPPT,1,34,-17.82,25.76,-45.88,30.99,0.01,0.15,-0.19,0.24
GVNP,LPPT,2,21,-8.86,26.83,-42.0,25.1,0.04,0.15,-0.22,0.26
HAAB,EIDW,0,64,-14.14,19.06,-37.22,24.3,-0.02,0.15,-0.24,0.22
HAAB,EIDW,1,28,-18.95,21.37,-42.23,-1.41,-0.01,0.14,-0.26,0.16
HAAB,LLBG,0,59,-25.92,18.55,-61.56,-2.31,-0.03,0.11,-0.21,0.08
HAAB,LTFM,0,62,-25.93,40.63,-84.32,25.69,-0.07,0.2,-0.44,0.2
HAAB,OLBA,0,60,-15.12,11.61,-30.75,3.49,-0.03,0.11,-0.21,0.13
HECA,EDDF,0,62,-13.55,24.65,-51.25,23.28,-0.12,0.15,-0.37,0.09
HECA,EDDF,1,30,-25.65,44.28,-77.01,57.57,-0.19,0.16,-0.42,0.05
HECA,EDDM,0,25,13.25,14.79,-4.84,39.8,-0.05,0.12,-0.2,0.17
HECA,EDDM,1,15,18.35,12.58,0.45,37.36,-0.09,0.11,-0.26,0.08
HECA,EDDM,2,20,13.08,15.34,-2.98,42.06,-0.06,0.11,-0.22,0.08
HECA,EGLL,0,18,9.13,9.97,-2.46,22.44,0.14,0.28,-0.24,0.55
HECA,EGLL,1,16,25.81,45.73,0.45,80.32,0.1,0.18,-0.18,0.38
HECA,EGLL,2,50,7.66,24.45,-19.61,55.58,0.08,0.17,-0.18,0.4
HECA,EGLL,3,36,17.44,16.35,-8.12,41.05,0.15,0.18,-0.21,0.38
HECA,GMMN,0,58,-2.53,13.11,-14.73,25.0,0.02,0.15,-0.19,0.26
HECA,GMMN,1,31,-6.79,30.56,-39.6,48.8,-0.0,0.14,-0.22,0.2
HECA,LEMD,0,63,12.06,25.35,-14.77,58.55,0.06,0.12,-0.16,0.23
HECA,LFPG,0,24,-8.36,20.15,-38.59,12.71,0.01,0.13,-0.17,0.23
HECA,LFPG,1,61,5.49,31.43,-32.7,73.4,0.03,0.17,-0.25,0.31
HECA,LGAV,0,43,5.49,6.94,-4.82,18.22,0.04,0.06,-0.05,0.15
HECA,LGAV,1,93,4.77,11.26,-5.48,21.3,0.01,0.06,-0.1,0.08
HECA,LIMC,0,75,-53.19,14.13,-68.85,-30.56,-0.23,0.12,-0.44,-0.06
HECA,LIMC,1,20,-50.18,13.13,-65.21,-26.22,-0.17,0.13,-0.37,-0.02
HECA,LIRF,0,123,-33.72,20.06,-57.59,11.08,-0.1,0.1,-0.26,0.08
HECA,LOWW,0,60,11.15,24.2,-18.94,56.91,0.01,0.1,-0.15,0.14
HECA,LTFM,0,200,-14.16,24.09,-44.74,28.15,-0.01,0.11,-0.16,0.17
HECA,OLBA,0,152,-19.78,11.2,-38.34,-2.15,-0.04,0.05,-0.12,0.03
HECA,UUDD,0,60,-10.96,86.15,-62.9,141.45,-0.11,0.16,-0.34,0.14
HEGN,EDDF,0,27,-11.73,22.69,-45.91,18.92,-0.07,0.16,-0.35,0.14
HEGN,EDDF,1,16,-19.26,22.63,-48.62,6.45,-0.09,0.16,-0.33,0.15
HEGN,EDDF,2,16,-29.5,38.61,-78.85,15.38,-0.15,0.15,-0.4,0.06
HEGN,EDDL,0,63,-1.45,18.2,-22.22,35.3,0.04,0.16,-0.21,0.28
HEGN,EDDM,0,15,11.24,9.13,-3.98,20.79,0.01,0.1,-0.1,0.14
HEGN,EDDM,1,41,15.99,15.2,-3.4,42.9,-0.01,0.12,-0.18,0.17
HEGN,LSZH,0,17,-9.98,35.77,-49.42,58.02,-0.05,0.2,-0.4,0.23
HEGN,LSZH,1,44,16.37,24.83,-15.17,56.1,-0.02,0.16,-0.25,0.24
HESH,LIMC,0,49,-48.85,14.7,-64.1,-20.76,-0.21,0.14,-0.47,-0.01
HESH,LIMC,1,28,-46.31,13.94,-64.35,-20.22,-0.2,0.14,-0.44,-0.03
HESH,UUEE,0,38,-92.49,35.1,-135.8,-11.52,-0.28,0.15,-0.53,-0.07
HESH,UUEE,1,16,7.64,35.38,-21.15,73.0,0.13,0.17,-0.17,0.37
HKJK,EBLG,0,21,-117.08,28.02,-142.9,-49.3,-0.29,0.14,-0.46,-0.07
HKJK,EBLG,1,15,-49.31,83.81,-129.35,66.79,-0.13,0.21,-0.45,0.18
HKJK,EBLG,2,18,1.9,42.07,-61.94,57.24,0.03,0.11,-0.09,0.21
HKJK,EGLL,0,25,5.27,47.74,-34.8,115.52,0.03,0.2,-0.31,0.34
HKJK,EGLL,1,48,19.22,31.9,-5.8,78.71,-0.01,0.19,-0.32,0.26
HKJK,EHAM,0,72,5.68,50.38,-56.12,131.59,0.06,0.2,-0.24,0.44
HKJK,EHAM,1,24,23.64,23.97,-1.31,77.63,-0.12,0.16,-0.38,0.15
HKJK,LFPG,0,20,-12.98,104.83,-127.87,62.1,-0.03,0.27,-0.38,0.31
HKJK,LFPG,1,16,-10.98,84.2,-132.45,72.85,-0.03,0.15,-0.28,0.16
HKJK,LFPG,2,17,12.28,36.29,-34.9,57.46,0.08,0.14,-0.13,0.28
HKJK,LFPG,3,27,32.87,29.11,-13.68,87.67,0.1,0.15,-0.19,0.29
HKJK,LTFM,0,51,-33.55,66.98,-101.55,90.1,0.02,0.37,-0.28,0.28
HLLB,DTTA,0,77,9.41,7.81,0.7,19.28,0.11,0.06,0.04,0.21
HLLM,LTFM,0,178,-25.82,24.35,-63.0,10.09,0.03,0.14,-0.16,0.27
KATL,EDDF,0,24,-49.89,55.59,-123.07,4.45,-0.13,0.23,-0.48,0.2
KATL,EDDF,1,42,-49.17,27.03,-83.66,-6.64,-0.1,0.28,-0.51,0.49
KATL,EDDF,2,32,-37.26,50.29,-90.98,12.95,-0.11,0.38,-0.69,0.46
KATL,EGLL,0,82,24.7,46.28,-19.6,145.64,0.17,0.35,-0.35,0.8
KATL,EGLL,1,33,18.0,36.62,-15.76,48.66,0.28,0.24,-0.04,0.7
KATL,EHAM,0,27,5.62,36.36,-39.61,64.15,0.17,0.24,-0.16,0.68
KATL,EHAM,1,76,13.91,31.31,-22.2,66.38,0.1,0.32,-0.33,0.7
KATL,EHAM,2,14,-10.76,52.38,-90.22,49.91,0.0,0.29,-0.29,0.49
KATL,LFPG,0,41,-8.85,26.44,-37.2,41.4,0.02,0.3,-0.36,0.59
KATL,LFPG,1,18,-25.42,40.86,-95.82,55.75,-0.02,0.23,-0.32,0.41
KATL,LFPG,2,33,-9.12,38.52,-55.32,38.52,0.17,0.2,-0.11,0.54
KATL,LFPG,3,30,-5.78,13.78,-28.42,16.38,0.01,0.38,-0.46,0.65
KATL,LFPG,4,27,-4.83,36.13,-51.78,57.73,0.03,0.28,-0.31,0.53
KATL,LIRF,0,40,-37.66,42.27,-79.29,48.09,-0.06,0.33,-0.51,0.53
KATL,LIRF,1,20,-24.79,35.49,-85.62,27.4,-0.03,0.42,-0.59,0.54
KBOS,EDDF,0,59,-53.62,42.1,-110.02,16.35,-0.09,0.23,-0.4,0.31
KBOS,EGLL,0,34,24.06,20.6,-3.67,58.07,0.19,0.32,-0.2,0.77
KBOS,EGLL,1,15,28.49,29.01,-9.9,73.78,0.18,0.25,-0.1,0.58
KBOS,EGLL,2,28,24.77,30.44,-20.04,72.28,0.2,0.25,-0.2,0.56
KBOS,EGLL,3,17,21.24,25.49,-16.92,57.16,0.17,0.25,-0.27,0.47
KBOS,EGLL,4,32,20.02,24.12,-7.01,56.91,0.18,0.23,-0.11,0.61
KBOS,EGLL,5,87,18.45,66.08,-38.5,157.58,0.15,0.23,-0.21,0.55
KBOS,EGLL,6,21,18.55,35.3,-21.5,89.6,0.17,0.32,-0.24,0.7
KBOS,EHAM,0,30,11.33,100.03,-52.63,258.89,0.08,0.28,-0.36,0.53
KBOS,EHAM,1,54,6.64,38.8,-38.6,76.77,0.05,0.21,-0.32,0.42
KBOS,EIDW,0,23,-3.89,24.48,-42.84,32.39,-0.0,0.16,-0.16,0.31
KBOS,EIDW,1,43,-10.95,47.38,-75.61,57.69,-0.05,0.23,-0.37,0.33
KBOS,EIDW,2,25,-17.73,76.37,-73.76,159.56,-0.04,0.21,-0.28,0.34
KBOS,LFPG,0,19,-4.56,56.56,-64.68,91.82,0.06,0.23,-0.18,0.47
KBOS,LFPG,1,39,-13.65,24.94,-45.43,25.69,0.04,0.22,-0.3,0.35
KBOS,LFPG,2,21,-1.69,28.41,-35.6,44.6,0.05,0.27,-0.27,0.5
KBOS,LIRF,0,22,-52.06,46.47,-95.65,30.26,-0.12,0.27,-0.53,0.25
KBOS,LIRF,1,16,-38.07,50.6,-83.42,35.58,-0.09,0.36,-0.58,0.52
KBOS,LIRF,2,21,-43.95,62.42,-91.2,24.8,-0.17,0.34,-0.63,0.36
KBOS,LPPT,0,24,-13.05,30.81,-50.74,36.5,0.04,0.21,-0.34,0.28
KBOS,LPPT,1,47,-16.44,49.99,-67.24,89.02,0.03,0.24,-0.41,0.3
KBOS,LPPT,2,18,-6.99,25.75,-47.34,25.08,0.02,0.21,-0.41,0.21
KBOS,LSZH,0,21,12.52,39.88,-29.2,95.5,0.01,0.15,-0.21,0.21
