ECTRL ID,ADEP,ADES,cluster_kmeans
265567436,LEBL,LEPA,0
265568356,EGLL,KJFK,3
265568661,EGLL,KJFK,6
265568750,LEBL,LEPA,0
265571139,EGLL,KJFK,3
265571264,EGLL,KJFK,6
265571269,LEBL,LEPA,0
265571770,LEBL,LEPA,0
265572106,LEBL,LEPA,0
265572147,LEBL,LEPA,0
265572388,EGLL,KJFK,3
265574022,LEBL,LEPA,0
265574415,EGLL,KJFK,3
265576283,EGLL,KJFK,6
265577101,EGLL,KJFK,6
265577191,LPPT,EDDB,0
265577529,EGLL,KJFK,3
265577554,LEBL,LEPA,0
265577563,LEBL,LEPA,0
265577728,EGLL,KJFK,3
265578325,EGLL,KJFK,5
265579068,LEBL,LEPA,0
265579124,EGLL,KJFK,3
265580373,EGLL,KJFK,8
265580991,EGLL,KJFK,5
265581536,LEBL,LEPA,0
265581920,LEBL,LEPA,0
265582483,LEBL,LEPA,0
265582658,LEBL,LEPA,0
265582929,LEBL,LEPA,0
265586089,LEBL,LEPA,0
265587009,LEBL,LEPA,0
265587110,LEBL,LEPA,0
265587751,LEBL,LEPA,0
265590117,EGLL,KJFK,5
265590201,LEBL,LEPA,0
265590541,LEBL,LEPA,0
265591771,EGLL,KJFK,2
265593443,EGLL,KJFK,6
265594434,EGLL,KJFK,2
265594541,LPPT,EDDB,0
265595643,EGLL,KJFK,3
265596301,LEBL,LEPA,0
265596613,LEBL,LEPA,0
265596910,EGLL,KJFK,2
265598027,EGLL,KJFK,5
265598884,EGLL,KJFK,6
265599808,LPPT,EDDB,0
265600507,EGLL,KJFK,5
265600749,EGLL,KJFK,6
265601426,EGLL,KJFK,6
265601478,LEBL,LEPA,0
265602453,LEBL,LEPA,0
265602525,EGLL,KJFK,6
265602653,EGLL,KJFK,6
265603338,LEBL,LEPA,0
265603680,EGLL,KJFK,3
265605089,LEBL,LEPA,0
265605241,EGLL,KJFK,6
265605422,EGLL,KJFK,6
265606326,EGLL,KJFK,3
265606542,LEBL,LEPA,0
265607342,LEBL,LEPA,0
265607606,LPPT,EDDB,0
265607869,EGLL,KJFK,6
265608565,EGLL,KJFK,5
265609257,EGLL,KJFK,6
265609598,EGLL,KJFK,7
265609839,LEBL,LEPA,0
265610265,EGLL,KJFK,2
265610554,LEBL,LEPA,0
265610744,EGLL,KJFK,5
265610962,LEBL,LEPA,0
265611191,LEBL,LEPA,0
265611519,LEBL,LEPA,0
265612104,LEBL,LEPA,0
265612238,LEBL,LEPA,0
265615252,LEBL,LEPA,0
265616436,LEBL,LEPA,0
265616945,LEBL,LEPA,0
265619105,EGLL,KJFK,5
265619194,LEBL,LEPA,0
265619391,LEBL,LEPA,0
265620267,LPPT,EDDB,0
265620563,EGLL,KJFK,7
265622328,EGLL,KJFK,6
265623259,EGLL,KJFK,2
265624409,EGLL,KJFK,3
265624604,LEBL,LEPA,0
265625248,LEBL,LEPA,0
265625879,EGLL,KJFK,7
265627114,EGLL,KJFK,5
265629379,EGLL,KJFK,6
265629666,EGLL,KJFK,5
265629885,LEBL,LEPA,0
265631806,LEBL,LEPA,0
265631899,EGLL,KJFK,6
265632004,EGLL,KJFK,5
265632860,LEBL,LEPA,0
265633161,EGLL,KJFK,3
265634826,LEBL,LEPA,0
265634969,EGLL,KJFK,6
265635182,EGLL,KJFK,5
265635548,LPPT,EDDB,0
265636229,EGLL,KJFK,3
265636511,LEBL,LEPA,0
265636582,LEBL,LEPA,0
265637554,LEBL,LEPA,0
265637726,EGLL,KJFK,7
265638082,EGLL,KJFK,6
265638157,LPPT,EDDB,0
265638877,EGLL,KJFK,5
265639347,LEBL,LEPA,0
265639699,EGLL,KJFK,6
265640624,LEBL,LEPA,0
265640977,EGLL,KJFK,3
265641462,EGLL,KJFK,5
265641556,LEBL,LEPA,0
265641754,LEBL,LEPA,0
265642456,LEBL,LEPA,0
265642602,LEBL,LEPA,0
265643119,LEBL,LEPA,0
265644222,LEBL,LEPA,0
265647255,LEBL,LEPA,0
265648232,LEBL,LEPA,0
265649567,LEBL,LEPA,0
265649769,LEBL,LEPA,0
265650678,EGLL,KJFK,5
265650997,LEBL,LEPA,0
265651146,LEBL,LEPA,0
265652055,LEBL,LEPA,0
265652582,EGLL,KJFK,6
265652812,LPPT,EDDB,0
265654318,EGLL,KJFK,6
265655210,EGLL,KJFK,6
265656670,EGLL,KJFK,3
265656843,LEBL,LEPA,0
265657436,LEBL,LEPA,0
265658167,EGLL,KJFK,6
265658890,EGLL,KJFK,7
265659269,EGLL,KJFK,5
265660747,LPPT,EDDB,0
265661596,EGLL,KJFK,7
265661703,LEBL,LEPA,0
265661929,EGLL,KJFK,5
265662444,LEBL,LEPA,0
265664098,LEBL,LEPA,0
265664309,EGLL,KJFK,6
265664398,EGLL,KJFK,3
265665441,EGLL,KJFK,3
265665921,LEBL,LEPA,0
265667070,LEBL,LEPA,0
265667365,EGLL,KJFK,7
265667507,EGLL,KJFK,5
265668750,LEBL,LEPA,0
265668815,LEBL,LEPA,0
265669851,LEBL,LEPA,0
265669992,EGLL,KJFK,6
265670367,EGLL,KJFK,7
265671203,EGLL,KJFK,7
265671670,LPPT,EDDB,0
