ADEP,ADES,cluster_kmeans,n_flights,mean_duration_h,most_common_ac,mean_total_dist_nm,mean_BGGLFIR,mean_EGGXFIR,mean_EGTTFIR,mean_EGTTUIR,mean_EISNUIR,mean_ENORFIR,mean_LECBFIR,mean_LPPOFIR,mean_LPPCFIR,mean_LFBBFIR,mean_LFFFFIR,mean_LFEEFIR,mean_EDGGFIR,mean_EDMMFIR,mean_EDWWFIR,mean_LGGGFIR,mean_LGGGUIR,mean_LIRRUIR,mean_LIMMUIR,mean_LFFFUIR,mean_LJLAFIR,mean_LOVVFIR,mean_LDZOFIR,mean_LSASUIR,mean_EBURUIR,mean_EDUUUIR,mean_LAAAFIR,mean_LYBAUIR,mean_EGPXUIR,mean_BIRDFIR,mean_CZQMFIR,mean_CZULFIR,mean_CZQXFIR,mean_cost_eur,std_cost_eur,n_clusters_od
BIKF,LIMC,1,17,4.046078431372549,A21N,780.2264705882353,0.0,125.13470588235293,0.0,594.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.07705882352943,704.1211764705882,0.0,0.0,0.0,32.28823529411765,0.0,0.0,0.0,0.0,702.3399999999999,655.0917647058823,0.0,0.0,0.0,14644.98,2430.15,2
BKPR,EDDL,0,41,2.267479674796748,A320,664.4565853658537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.07829268292683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.26463414634148,207.78756097560978,129.58609756097562,0.0,0.0,444.0921951219512,116.74000000000001,135.35512195121953,0.0,0.0,0.0,0.0,0.0,6394.09,175.43,2
BKPR,EDDL,1,24,2.3069444444444445,A320,697.3804166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.235,0.0,0.0,0.0,0.0,0.0,39.024166666666666,0.0,0.0,267.4508333333333,207.95458333333332,0.0,0.0,435.4554166666667,116.74,122.82875,0.0,0.0,0.0,0.0,0.0,6712.29,487.99,2
BKPR,EDDS,0,40,1.82625,B734,654.46425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.62,129.67,0.0,0.0,0.0,0.0,0.0,0.0,116.704,136.09949999999998,122.63074999999999,0.0,0.0,185.25449999999998,116.73999999999998,119.92,0.0,0.0,0.0,0.0,0.0,5498.58,508.02,2
BKPR,EDDS,1,30,1.8138888888888889,A320,679.8916666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.62,146.278,0.0,0.0,0.0,0.0,0.0,0.0,105.13966666666667,189.73266666666666,89.38133333333333,0.0,0.0,108.13933333333333,116.74,116.10133333333333,0.0,0.0,0.0,0.0,0.0,4951.45,194.33,2
BKPR,LFSB,0,61,1.9306010928961748,B738,639.3355737704918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.37,85.27,0.0,0.0,0.0,0.0,0.0,281.13409836065574,0.0,1.379344262295082,0.0,375.5762295081967,181.51,0.0,0.0,116.74,89.95065573770492,0.0,0.0,0.0,0.0,0.0,5753.33,298.37,2
BKPR,LFSB,1,53,1.989622641509434,A320,621.4279245283019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.36999999999999,85.27,0.0,0.0,0.0,0.0,0.0,191.53264150943394,0.0,83.54396226415095,99.26773584905659,176.23622641509434,58.74132075471698,0.0,90.71622641509434,116.73999999999998,119.07811320754718,0.0,0.0,0.0,0.0,0.0,5606.64,174.58,2
BKPR,LOWW,0,21,1.3650793650793651,A21N,443.49000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.87,132.67,129.21,0.0,0.0,0.0,116.74,119.92,0.0,0.0,0.0,0.0,0.0,3589.14,116.07,2
BKPR,LOWW,1,45,1.3344444444444443,A320,468.53999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.87,132.67,154.26,0.0,0.0,0.0,116.74000000000001,119.91999999999999,0.0,0.0,0.0,0.0,0.0,3453.54,300.32,2
BKPR,LSGG,0,27,2.0407407407407407,A20N,542.2566666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.48,0.0,0.0,0.0,425.5166666666667,0.0,0.0,0.0,116.74,84.76,0.0,0.0,0.0,0.0,0.0,5230.14,430.41,2
BKPR,LSGG,1,42,2.001984126984127,A20N,545.8121428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0600000000001,50.506666666666675,0.0,0.0,429.0721428571428,0.0,0.0,0.0,116.74,86.03714285714287,0.0,0.0,0.0,0.0,0.0,5352.47,410.96,2
BKPR,LSZH,0,24,1.9138888888888888,A320,544.8170833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.35999999999999,0.0,0.0,0.0,0.0,205.89291666666668,0.0,84.33416666666666,81.8875,201.49541666666664,0.0,0.0,55.500416666666666,116.74,106.31583333333333,0.0,0.0,0.0,0.0,0.0,5028.36,256.56,3
BKPR,LSZH,1,78,1.9401709401709404,A320,603.3042307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.43653846153846,0.0,0.0,0.0,0.0,0.0,0.0,164.30076923076922,170.25794871794872,90.56897435897436,0.0,0.0,152.79589743589744,116.74,107.98769230769231,0.0,0.0,0.0,0.0,0.0,5128.8,200.04,3
BKPR,LSZH,2,18,1.973148148148148,A320,380.8183333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.5988888888889,0.0,0.0,0.0,252.67555555555555,113.3138888888889,0.0,0.0,128.14277777777775,80.37888888888888,0.0,0.0,0.0,0.0,0.0,5367.42,187.26,3
BKPR,LTFJ,0,15,1.3322222222222222,B738,22.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.078,281.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2790.31,144.64,2
BKPR,LTFJ,1,37,1.2414414414414416,A21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2432.12,106.79,2
CYUL,EDDF,0,18,6.497222222222223,B789,1946.7766666666669,0.0,1082.8861111111112,0.0,576.0583333333333,551.4666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.8133333333333,40.26,0.0,0.0,0.0,0.0,401.5827777777778,343.77777777777777,2335.827777777778,39108.12,2232.13,4
CYUL,EDDF,1,16,6.685416666666667,B789,2891.359375,47.503125,1249.126875,0.0,544.68,378.12562499999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.39,40.26,0.0,0.0,18.6025,0.0,0.0,1476.1993750000001,1720.405625,41762.48,3595.68,4
CYUL,EDDF,2,25,6.582666666666666,B789,2270.2828,0.0,994.2124,0.0,557.0107999999999,629.3592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.5596,40.26,0.0,0.0,0.0,0.0,0.0,1157.5403999999999,2073.4424,39696.04,2610.76,4
CYUL,EDDF,3,20,6.526666666666666,B789,2782.4610000000002,90.615,1135.169,0.0,456.24899999999997,160.7995,26.441000000000003,0.0,0.0,0.0,0.0,0.0,0.0,138.408,0.0,0.0,0.0,0.0,0.0,0.0,87.066,0.0,0.0,0.0,0.0,5.332,2.114,0.0,0.0,194.952,150.102,7.795999999999999,1233.9299999999998,1902.209,38524.86,2563.59,4
CYUL,EGLL,0,33,5.647979797979798,B789,2396.366666666667,0.0,1002.6539393939395,138.16757575757575,261.7187878787879,616.7312121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1255.5451515151515,1975.7881818181818,32411.87,2260.19,3
CYUL,EGLL,1,31,5.575268817204301,B789,2764.587741935484,31.614838709677418,1251.4235483870966,107.37,309.5203225806452,318.22709677419357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.80838709677419,0.0,0.0,1374.1793548387095,1835.3554838709676,33504.76,2979.04,3
